Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/06 16:00 16:30,  18000.0,    -NaN,    NaN,    -NaN,    -NaN,    -NaN,    -NaN,    -NaN,    NaN,    NaN,   0.501231,    NaN,   0.466909,   -1.130022,   97.586968,    NaN,   137.000000,    NaN,    NaN,   0.000000,    -NaN,    -NaN,    -NaN,  
18/01/06 16:30 17:00,  18000.0,    -NaN,    NaN,    -NaN,    -NaN,    -NaN,    -NaN,    -NaN,    NaN,    NaN,   0.595547,    NaN,   0.556362,   -1.241431,   97.621191,    NaN,   137.000000,    NaN,    NaN,   0.000000,    -NaN,    -NaN,    -NaN,  
18/01/06 17:00 17:30,  18000.0,    -NaN,    NaN,    -NaN,    -NaN,    -NaN,    -NaN,    -NaN,    NaN,    NaN,   0.658586,    NaN,   0.616879,   -1.084684,   97.642294,    NaN,   137.000000,    NaN,    NaN,   0.000000,    -NaN,    -NaN,    -NaN,  
18/01/06 17:30 18:00,  18000.0,    -NaN,    NaN,    -NaN,    -NaN,    -NaN,    -NaN,    -NaN,    NaN,    NaN,   0.694295,    NaN,   0.654923,   -1.109008,   97.667094,    NaN,   137.000000,    NaN,    NaN,   0.000000,    -NaN,    -NaN,    -NaN,  
18/01/06 18:00 18:30,  18000.0,    -NaN,    NaN,    -NaN,    -NaN,    -NaN,    -NaN,    -NaN,    NaN,    NaN,   0.730464,    NaN,   0.695901,   -1.148940,   97.694836,    NaN,   137.000000,    NaN,    NaN,   0.000000,    -NaN,    -NaN,    -NaN,  
18/01/06 18:30 19:00,  17999.0,   0.186747,   -0.043565,   12.420127,   13.779452,   0.009791,   -0.025706,   -0.584093,   719.703906,   379.203075,   0.754289,   1.520901,   0.721824,   -1.046323,   97.723805,   1.091551,   98.487298,   -43.054456,   -0.046453,   0.000052,   4.475766,   79.791052,   159.582103,  
18/01/06 19:00 19:30,  18000.0,   0.090318,   -0.010198,   13.319767,   12.014246,   0.008496,   -0.011436,   -0.259850,   723.042424,   380.666205,   0.774390,   1.762437,   0.743691,   -1.222421,   97.760929,   1.260599,   140.744276,   -4.594256,   -0.435326,   0.000021,   15.621974,   56.042233,   112.084466,  
18/01/06 19:30 20:00,  18000.0,   0.078370,   -0.007679,   14.524058,   14.473502,   0.010238,   -0.013355,   -0.303466,   725.327101,   381.845704,   0.790533,   1.898114,   0.761124,   -1.156571,   97.795926,   1.052475,   139.326816,   -2.739790,   -0.729983,   0.000024,   20.191777,   50.617624,   101.235247,  
18/01/06 20:00 20:30,  18000.0,   0.103651,   -0.013437,   11.099645,   8.287722,   0.005827,   -0.009708,   -0.220593,   727.731493,   382.947434,   0.805197,   2.014533,   0.776970,   -1.204623,   97.832058,   1.464810,   116.371066,   -8.409172,   -0.237836,   0.000018,   11.719307,   63.787648,   127.575295,  
18/01/06 20:30 21:00,  17999.0,   0.079296,   -0.007874,   18.784677,   17.959740,   0.012659,   -0.015421,   -0.350413,   729.856792,   383.600356,   0.818198,   2.193778,   0.791008,   -1.489647,   97.871574,   2.178872,   127.132295,   -2.201089,   -0.908641,   0.000024,   22.998509,   45.223239,   90.446478,  
18/01/06 21:00 21:30,  18000.0,   0.102645,   -0.013202,   20.959720,   18.845924,   0.013253,   -0.017742,   -0.403133,   731.276923,   384.090890,   0.828346,   2.315427,   0.802072,   -1.621345,   97.897760,   2.227255,   125.318034,   -4.293016,   -0.465873,   0.000018,   14.477896,   54.248491,   108.496983,  
18/01/06 21:30 22:00,  18000.0,   0.077655,   -0.007563,   21.284005,   19.291482,   0.013562,   -0.016718,   -0.379881,   733.058309,   384.690120,   0.836702,   2.345582,   0.811205,   -1.768173,   97.929654,   1.922033,   128.572582,   -1.830631,   -1.092519,   0.000024,   24.481698,   43.678385,   87.356769,  
18/01/06 22:00 22:30,  17999.0,   0.138758,   -0.024177,   27.701138,   22.228060,   0.015575,   -0.023268,   -0.528715,   735.099924,   385.280715,   0.844691,   2.404881,   0.819900,   -1.971295,   97.974257,   2.256457,   113.032922,   -8.073272,   -0.247731,   0.000028,   7.873780,   67.279599,   134.559198,  
18/01/06 22:30 23:00,  18000.0,   0.257565,   -0.083426,   34.398209,   13.437267,   0.009159,   -0.030578,   -0.694811,   737.098117,   385.761862,   0.852232,   2.566870,   0.828202,   -2.247504,   98.016413,   1.710919,   80.511492,   -42.541688,   -0.047013,   0.000098,   5.032239,   53.456312,   106.912625,  
18/01/06 23:00 23:30,  18000.0,   0.173158,   -0.037794,   19.846823,   8.718793,   0.005962,   -0.032710,   -0.743260,   737.779891,   385.216943,   0.852619,   2.663599,   0.828674,   -2.827060,   98.057070,   1.860455,   63.804692,   -22.355247,   -0.089464,   0.000044,   8.173860,   52.949777,   105.899554,  
18/01/06 23:30 24:00,  18000.0,   0.100528,   -0.012750,   15.930981,   6.237575,   0.004239,   -0.020032,   -0.455176,   739.194624,   385.607145,   0.853756,   2.683628,   0.830044,   -2.951233,   98.092663,   0.659634,   73.054013,   -5.465879,   -0.365906,   0.000019,   17.258623,   47.857815,   95.715631,  
18/01/07 0:00 0:30,  17999.0,   0.081477,   -0.008367,   15.940701,   9.124952,   0.006304,   -0.019838,   -0.450768,   738.286193,   385.498343,   0.854773,   2.715097,   0.831047,   -2.656421,   98.124453,   1.301019,   99.084765,   -2.880621,   -0.694295,   0.000023,   21.180117,   47.357784,   94.715568,  
18/01/07 0:30 1:00,  18000.0,   0.118676,   -0.017741,   10.653787,   8.064622,   0.005623,   -0.010989,   -0.249698,   738.754835,   385.972315,   0.858288,   2.701700,   0.835010,   -2.421448,   98.155474,   1.256232,   73.756764,   -13.191001,   -0.151619,   0.000021,   9.340259,   68.003073,   136.006145,  
18/01/07 1:00 1:30,  18000.0,   0.119686,   -0.018049,   14.246734,   9.469062,   0.006575,   -0.013931,   -0.316546,   739.826128,   386.440596,   0.863429,   2.730133,   0.840830,   -2.363535,   98.186644,   1.618241,   75.102613,   -10.171852,   -0.196621,   0.000021,   9.800492,   64.916248,   129.832496,  
18/01/07 1:30 2:00,  18000.0,   0.188923,   -0.044948,   19.487555,   14.148567,   0.009848,   -0.024371,   -0.553777,   741.152989,   387.323111,   0.864368,   2.768531,   0.842365,   -2.111111,   98.223827,   2.119927,   73.465562,   -29.160373,   -0.068586,   0.000053,   6.727593,   56.961124,   113.922249,  
18/01/07 2:00 2:30,  17999.0,   0.254824,   -0.081820,   25.839710,   24.352717,   0.017084,   0.000629,   0.014285,   743.867577,   388.540184,   0.872531,   2.630968,   0.851793,   -2.112369,   98.268722,   2.566977,   65.972393,   -53.371960,   -0.037473,   0.000096,   5.435182,   50.779448,   101.558896,  
18/01/07 2:30 3:00,  18000.0,   0.206226,   -0.053541,   23.712764,   30.891521,   0.021811,   -0.019372,   -0.440188,   744.150756,   389.026044,   0.896392,   2.573593,   0.877904,   -1.750662,   98.303095,   3.298578,   80.622315,   -30.254125,   -0.066107,   0.000063,   5.706852,   59.775915,   119.551829,  
18/01/07 3:00 3:30,  18000.0,   0.218137,   -0.059939,   33.206513,   39.669347,   0.027952,   -0.027178,   -0.617557,   746.905260,   390.242701,   0.914614,   2.662342,   0.898174,   -1.789172,   98.337686,   4.272066,   98.423817,   -25.723008,   -0.077751,   0.000070,   4.664423,   66.581879,   133.163758,  
18/01/07 3:30 4:00,  18000.0,   0.172304,   -0.037405,   33.819679,   39.198613,   0.027593,   -0.022758,   -0.517115,   749.430636,   391.477511,   0.931044,   2.729134,   0.916510,   -1.762752,   98.369215,   4.552830,   114.786041,   -12.474560,   -0.160326,   0.000044,   7.472420,   57.157477,   114.314953,  
18/01/07 4:00 4:30,  17999.0,   0.196473,   -0.048641,   32.457578,   39.705161,   0.027947,   -0.021970,   -0.499201,   753.221510,   393.402451,   0.947175,   2.870561,   0.933959,   -1.674084,   98.405859,   4.835016,   103.406215,   -19.213855,   -0.104092,   0.000057,   5.915422,   60.826030,   121.652060,  
18/01/07 4:30 5:00,  18000.0,   0.217561,   -0.059653,   38.487371,   46.505138,   0.032695,   -0.022615,   -0.513874,   755.332040,   394.435720,   0.956379,   2.999208,   0.943103,   -1.619890,   98.431560,   5.593852,   103.740618,   -22.025169,   -0.090805,   0.000070,   5.839048,   55.772013,   111.544026,  
18/01/07 5:00 5:30,  18000.0,   0.203455,   -0.052202,   41.919587,   48.254818,   0.033912,   -0.024492,   -0.556527,   755.898574,   394.477237,   0.956263,   2.921916,   0.943003,   -1.691626,   98.462644,   5.695642,   106.361263,   -16.592857,   -0.120534,   0.000061,   6.472296,   54.751215,   109.502430,  
18/01/07 5:30 6:00,  17999.0,   0.254111,   -0.081441,   47.033241,   52.040433,   0.036549,   -0.030796,   -0.699760,   756.309171,   394.649366,   0.956086,   2.917136,   0.943000,   -1.617107,   98.496807,   5.979283,   107.054064,   -28.891164,   -0.069225,   0.000095,   4.441775,   59.838424,   119.676848,  
18/01/07 6:00 6:30,  18000.0,   0.254887,   -0.081941,   45.868759,   56.229657,   0.039572,   -0.031446,   -0.714528,   756.327677,   394.649238,   0.956076,   2.910344,   0.943000,   -1.545436,   98.525427,   6.287113,   120.070222,   -29.717546,   -0.067300,   0.000096,   4.666515,   57.353928,   114.707855,  
18/01/07 6:30 7:00,  18000.0,   0.255582,   -0.082344,   52.171709,   67.095526,   0.047266,   -0.036312,   -0.825084,   756.177117,   394.786037,   0.956083,   2.918981,   0.943000,   -1.298627,   98.561139,   6.289151,   120.265832,   -26.266457,   -0.076143,   0.000096,   4.833927,   55.614058,   111.228116,  
18/01/07 7:00 7:30,  18000.0,   0.232083,   -0.067909,   38.694905,   51.922795,   0.036638,   -0.027296,   -0.620227,   756.710025,   395.004146,   0.956143,   2.792187,   0.943001,   -1.226806,   98.603552,   6.372976,   113.483526,   -26.449206,   -0.075617,   0.000080,   5.399694,   55.821658,   111.643316,  
18/01/07 7:30 8:00,  17999.0,   0.239134,   -0.072049,   41.976047,   61.235728,   0.043266,   -0.026202,   -0.595377,   756.117720,   394.960566,   0.956352,   2.815091,   0.943002,   -0.983509,   98.624430,   6.264032,   112.583499,   -26.514481,   -0.075430,   0.000084,   5.288904,   55.154542,   110.309085,  
18/01/07 8:00 8:30,  18000.0,   0.251122,   -0.079443,   46.997777,   69.050512,   0.048823,   -0.032563,   -0.739917,   756.437053,   395.186295,   0.956290,   2.733259,   0.943018,   -0.844317,   98.646642,   6.130975,   109.292257,   -27.413366,   -0.072957,   0.000093,   4.702382,   57.821932,   115.643863,  
18/01/07 8:30 9:00,  18000.0,   0.234375,   -0.069170,   42.419356,   64.732415,   0.045796,   -0.027638,   -0.628003,   756.152175,   395.207862,   0.956343,   2.754996,   0.943031,   -0.628566,   98.674132,   5.719803,   105.432583,   -24.625245,   -0.081217,   0.000081,   5.259508,   56.475864,   112.951727,  
18/01/07 9:00 9:30,  18000.0,   0.308949,   -0.120224,   37.546084,   60.793795,   0.043076,   -0.021978,   -0.499387,   756.774878,   395.429589,   0.956498,   2.621847,   0.943034,   -0.575205,   98.699030,   5.023173,   92.925491,   -63.431455,   -0.031530,   0.000141,   2.781178,   72.136116,   144.272232,  
18/01/07 9:30 10:00,  17999.0,   0.213421,   -0.057404,   36.482083,   56.603856,   0.040085,   -0.023833,   -0.541544,   757.635814,   395.648284,   0.956113,   2.614370,   0.943002,   -0.700312,   98.718088,   5.340605,   106.591299,   -21.599578,   -0.092594,   0.000067,   5.652211,   58.300736,   116.601471,  
18/01/07 10:00 10:30,  18000.0,   0.213021,   -0.057204,   34.145792,   56.014636,   0.039689,   -0.022228,   -0.505082,   757.709081,   395.582569,   0.956205,   2.632322,   0.943005,   -0.730841,   98.733008,   5.305416,   112.153019,   -22.847018,   -0.087539,   0.000067,   5.426612,   60.339760,   120.679520,  
18/01/07 10:30 11:00,  18000.0,   0.179656,   -0.040685,   29.186617,   49.827266,   0.035316,   -0.016125,   -0.366400,   757.604449,   395.555660,   0.956031,   2.664973,   0.942987,   -0.638742,   98.743345,   5.475393,   115.681889,   -15.980378,   -0.125153,   0.000048,   7.865230,   52.728961,   105.457922,  
18/01/07 11:00 11:30,  18000.0,   0.198255,   -0.049527,   36.868027,   57.816050,   0.040925,   -0.023512,   -0.534254,   758.225523,   396.025422,   0.955916,   2.727750,   0.942583,   -0.510791,   98.749282,   5.747461,   123.208514,   -17.123692,   -0.116797,   0.000058,   6.875264,   53.470496,   106.940992,  
18/01/07 11:30 12:00,  17999.0,   0.215943,   -0.058733,   40.783965,   65.888933,   0.046645,   -0.024234,   -0.550652,   757.383471,   395.751033,   0.956000,   2.791841,   0.943000,   -0.429358,   98.755502,   5.614331,   120.129622,   -19.954563,   -0.100228,   0.000069,   5.911749,   55.617385,   111.234769,  
18/01/07 12:00 12:30,  18000.0,   0.239145,   -0.072013,   35.163011,   57.206234,   0.040516,   -0.022712,   -0.516061,   757.338899,   395.836114,   0.956000,   2.746575,   0.943000,   -0.352456,   98.759461,   5.924216,   119.767460,   -31.417227,   -0.063659,   0.000084,   4.768601,   59.915870,   119.831740,  
18/01/07 12:30 13:00,  18000.0,   0.179290,   -0.040487,   34.023413,   53.757650,   0.038074,   -0.022679,   -0.515321,   757.251723,   395.688791,   0.956029,   2.680688,   0.943058,   -0.379358,   98.773369,   5.351994,   121.261911,   -13.716883,   -0.145806,   0.000047,   8.936533,   47.700691,   95.401381,  
18/01/07 13:00 13:30,  18000.0,   0.149813,   -0.028261,   30.853257,   48.322640,   0.034209,   -0.022139,   -0.503048,   757.164980,   395.744956,   0.956151,   2.755817,   0.943121,   -0.269173,   98.788222,   4.395793,   118.019525,   -8.832380,   -0.226440,   0.000033,   10.743351,   48.804850,   97.609700,  
18/01/07 13:30 14:00,  17999.0,   0.209140,   -0.055055,   31.657281,   51.248930,   0.036292,   -0.027183,   -0.617655,   757.096159,   395.859347,   0.956116,   2.796496,   0.943158,   -0.079640,   98.802870,   3.891621,   111.408655,   -23.357729,   -0.085625,   0.000065,   4.958830,   65.998545,   131.997090,  
18/01/07 14:00 14:30,  18000.0,   0.129502,   -0.021101,   24.944993,   43.142067,   0.030588,   -0.018484,   -0.419997,   757.156579,   396.044171,   0.956249,   2.743069,   0.943399,   0.017963,   98.795914,   3.594569,   117.843396,   -6.997058,   -0.285834,   0.000025,   11.914591,   51.552307,   103.104614,  
18/01/07 14:30 15:00,  18000.0,   0.161572,   -0.032844,   19.217776,   37.138770,   0.026371,   -0.016191,   -0.367907,   757.213983,   396.098061,   0.956641,   2.689478,   0.943859,   0.031828,   98.795785,   2.895630,   108.931862,   -17.455085,   -0.114580,   0.000039,   7.230537,   62.370887,   124.741774,  
18/01/07 15:00 15:30,  18000.0,   0.137610,   -0.023823,   19.256053,   33.375291,   0.023674,   -0.020763,   -0.471796,   756.776130,   395.911139,   0.956991,   2.670418,   0.944029,   0.051190,   98.791281,   2.629554,   108.269344,   -10.872589,   -0.183949,   0.000028,   9.520789,   58.250054,   116.500107,  
18/01/07 15:30 16:00,  18000.0,   0.245703,   -0.075874,   13.604511,   34.594163,   0.024620,   -0.011825,   -0.268682,   756.429769,   396.106247,   0.956846,   2.792142,   0.944048,   0.319625,   98.793295,   2.027514,   83.257718,   -84.093750,   -0.023783,   0.000089,   3.916661,   68.341105,   136.682210,  
18/01/07 16:00 16:30,  17999.0,   0.190436,   -0.045607,   21.154293,   34.844356,   0.024680,   -0.018275,   -0.415255,   757.176353,   396.251261,   0.956941,   2.837768,   0.944003,   0.171101,   98.794103,   2.243599,   98.150006,   -26.346552,   -0.075911,   0.000054,   4.964758,   72.086423,   144.172846,  
18/01/07 16:30 17:00,  18000.0,   0.178288,   -0.039969,   14.631626,   27.702275,   0.019659,   -0.019287,   -0.438252,   756.962666,   396.187629,   0.957000,   2.786829,   0.944084,   0.285680,   98.800900,   1.517692,   107.711023,   -30.866523,   -0.064795,   0.000047,   5.046240,   75.752655,   151.505311,  
18/01/07 17:00 17:30,  18000.0,   0.153251,   -0.029538,   16.001525,   29.788583,   0.021134,   -0.016578,   -0.376697,   757.511304,   396.392522,   0.957000,   2.800669,   0.944197,   0.333394,   98.812937,   1.412657,   116.931518,   -17.956320,   -0.111381,   0.000035,   7.264689,   65.325341,   130.650682,  
18/01/07 17:30 18:00,  18000.0,   0.117592,   -0.017394,   18.555313,   31.884353,   0.022599,   -0.013078,   -0.297171,   757.919835,   396.533050,   0.957000,   2.799065,   0.944268,   0.266672,   98.813770,   1.588194,   156.731992,   -7.047496,   -0.283789,   0.000020,   10.818589,   60.985828,   121.971656,  
18/01/07 18:00 18:30,  17999.0,   0.105772,   -0.014073,   20.084491,   27.585571,   0.019495,   -0.010380,   -0.235859,   757.486391,   396.318890,   0.957070,   2.790940,   0.944546,   0.230213,   98.816139,   0.663353,   166.125995,   -4.824127,   -0.414583,   0.000018,   15.832903,   49.406601,   98.813203,  
18/01/07 18:30 19:00,  18000.0,   0.193090,   -0.046864,   32.129887,   42.674103,   0.030130,   -0.011683,   -0.265462,   757.161053,   396.439147,   0.957048,   2.885957,   0.944556,   0.441113,   98.824044,   1.108043,   291.023445,   -18.390672,   -0.108751,   0.000055,   5.768536,   63.096019,   126.192038,  
18/01/07 19:00 19:30,  18000.0,   0.330779,   -0.137762,   18.110139,   32.708055,   0.023181,   -0.002565,   -0.058282,   757.967889,   396.192463,   0.956872,   2.889858,   0.943960,   -0.143180,   98.838618,   1.574106,   234.335694,   -160.041868,   -0.012497,   0.000162,   1.928008,   90.547144,   181.094287,  
18/01/07 19:30 20:00,  18000.0,   0.121771,   -0.018679,   24.437131,   35.381446,   0.025000,   -0.017197,   -0.390755,   757.134288,   395.570752,   0.956940,   2.890918,   0.943968,   -0.363254,   98.841942,   2.447785,   203.816462,   -6.028792,   -0.331741,   0.000022,   11.112927,   57.760247,   115.520493,  
18/01/07 20:00 20:30,  17999.0,   0.143901,   -0.026089,   26.137335,   38.506991,   0.027216,   -0.017471,   -0.396992,   756.948421,   395.410610,   0.956740,   2.883566,   0.943856,   -0.436288,   98.843816,   2.986221,   201.758527,   -9.290029,   -0.215285,   0.000031,   7.831497,   65.287213,   130.574426,  
18/01/07 20:30 21:00,  18000.0,   0.116981,   -0.017246,   25.862847,   38.238151,   0.027025,   -0.016800,   -0.381734,   757.031625,   395.333822,   0.956832,   2.879287,   0.943917,   -0.471484,   98.835088,   2.345109,   216.457988,   -5.042119,   -0.396659,   0.000020,   16.076927,   44.640693,   89.281386,  
18/01/07 21:00 21:30,  18000.0,   0.161776,   -0.033031,   34.497295,   45.359936,   0.031995,   -0.024445,   -0.555443,   758.378437,   395.456536,   0.956530,   2.855001,   0.943801,   -0.816536,   98.832963,   3.074731,   213.254465,   -10.084913,   -0.198316,   0.000039,   7.472233,   60.679120,   121.358239,  
18/01/07 21:30 22:00,  18000.0,   0.170056,   -0.036559,   32.453206,   42.480888,   0.029974,   -0.022071,   -0.501494,   759.654735,   395.478728,   0.956169,   2.739693,   0.943433,   -1.272860,   98.838596,   3.499099,   205.011034,   -12.457567,   -0.160545,   0.000043,   6.535734,   64.419482,   128.838964,  
18/01/07 22:00 22:30,  17999.0,   0.184590,   -0.043141,   32.131472,   45.295517,   0.032005,   -0.008188,   -0.186043,   760.288189,   395.203974,   0.956003,   2.636144,   0.943040,   -1.752267,   98.840038,   3.642713,   198.340900,   -16.009600,   -0.124925,   0.000050,   6.028692,   63.571775,   127.143550,  
18/01/07 22:30 23:00,  18000.0,   0.210159,   -0.055987,   38.866778,   51.201022,   0.036143,   -0.018794,   -0.427048,   761.123088,   395.171314,   0.956026,   2.586147,   0.943059,   -2.065794,   98.834164,   3.747101,   192.685024,   -19.626951,   -0.101901,   0.000065,   5.109370,   64.140450,   128.280900,  
18/01/07 23:00 23:30,  18000.0,   0.204735,   -0.053135,   34.124218,   47.590672,   0.033629,   -0.017434,   -0.396146,   760.113280,   394.642309,   0.956015,   2.545938,   0.943034,   -2.165510,   98.818980,   4.060973,   201.117374,   -20.582357,   -0.097171,   0.000062,   5.709003,   60.172555,   120.345109,  
18/01/07 23:30 24:00,  18000.0,   0.189477,   -0.045498,   37.452705,   47.936305,   0.033833,   -0.025511,   -0.579671,   759.821105,   394.593318,   0.956001,   2.552995,   0.943016,   -2.074932,   98.819748,   3.589973,   208.115486,   -14.953952,   -0.133744,   0.000053,   5.869351,   63.355545,   126.711090,  
18/01/08 0:00 0:30,  17999.0,   0.202814,   -0.052163,   40.373837,   49.048419,   0.034595,   -0.029507,   -0.670475,   760.186109,   394.526452,   0.956003,   2.512191,   0.943011,   -2.258921,   98.813295,   3.642685,   207.816688,   -17.070130,   -0.117164,   0.000061,   5.174437,   65.683375,   131.366751,  
18/01/08 0:30 1:00,  18000.0,   0.196270,   -0.048882,   35.604189,   45.707370,   0.032267,   -0.022057,   -0.501179,   760.580351,   394.483947,   0.956125,   2.477771,   0.943188,   -2.301098,   98.809932,   3.889124,   205.639192,   -17.480035,   -0.114416,   0.000057,   5.640386,   63.249693,   126.499387,  
18/01/08 1:00 1:30,  18000.0,   0.171329,   -0.037185,   32.215339,   43.785996,   0.030929,   -0.024159,   -0.548939,   759.655604,   394.664061,   0.956208,   2.563174,   0.943227,   -1.910932,   98.793030,   3.285278,   216.119739,   -12.796421,   -0.156294,   0.000043,   7.930770,   54.793315,   109.586630,  
18/01/08 1:30 2:00,  18000.0,   0.179055,   -0.040605,   30.115321,   42.761457,   0.030231,   -0.021165,   -0.480913,   759.714782,   394.788221,   0.956080,   2.525084,   0.943037,   -1.886232,   98.774637,   3.525078,   211.697289,   -15.572953,   -0.128428,   0.000047,   6.518778,   61.470800,   122.941600,  
18/01/08 2:00 2:30,  17999.0,   0.185058,   -0.043338,   26.021432,   38.258066,   0.027065,   -0.016300,   -0.370367,   759.057174,   394.768769,   0.956018,   2.519392,   0.943042,   -1.801016,   98.753030,   3.412086,   215.136603,   -19.840133,   -0.100806,   0.000051,   6.970438,   56.466382,   112.932764,  
18/01/08 2:30 3:00,  18000.0,   0.164387,   -0.034186,   25.401877,   41.099142,   0.029106,   -0.017431,   -0.396084,   758.939068,   394.838666,   0.956021,   2.536843,   0.943050,   -1.766338,   98.731667,   3.039009,   225.100498,   -14.134642,   -0.141496,   0.000040,   10.398627,   45.880674,   91.761349,  
18/01/08 3:00 3:30,  18000.0,   0.204821,   -0.053066,   19.241840,   21.571610,   0.015210,   -0.009961,   -0.226340,   758.888434,   394.855539,   0.956868,   2.442416,   0.943915,   -1.610013,   98.713847,   1.494490,   245.801858,   -37.031432,   -0.054008,   0.000062,   5.089446,   65.938016,   131.876032,  
18/01/08 3:30 4:00,  18000.0,   0.130961,   -0.021689,   25.734594,   7.935273,   0.005290,   -0.017504,   -0.397721,   759.805933,   395.421851,   0.956914,   2.919980,   0.943925,   -1.524977,   98.696528,   0.857663,   -39.158022,   -7.560406,   -0.264536,   0.000025,   9.984451,   58.757880,   117.515760,  
18/01/08 4:00 4:30,  17999.0,   0.149268,   -0.028165,   31.125851,   9.266414,   0.006137,   -0.020644,   -0.469089,   758.966050,   395.140311,   0.956953,   3.062186,   0.943957,   -1.619571,   98.683153,   0.963013,   -37.584674,   -9.260757,   -0.215965,   0.000033,   7.371027,   66.198681,   132.397361,  
18/01/08 4:30 5:00,  18000.0,   0.199520,   -0.050290,   53.657487,   14.969195,   0.009846,   -0.037782,   -0.858495,   758.842698,   395.319464,   0.956822,   3.114382,   0.943819,   -1.556292,   98.668424,   1.348095,   -31.189001,   -12.840384,   -0.155759,   0.000059,   5.055806,   67.964947,   135.929895,  
18/01/08 5:00 5:30,  18000.0,   0.221924,   -0.062170,   60.500212,   15.844490,   0.010373,   -0.037145,   -0.844014,   758.126559,   395.253311,   0.956810,   3.083644,   0.943771,   -1.388100,   98.649172,   1.687251,   316.039971,   -15.682865,   -0.127528,   0.000073,   5.148195,   60.525350,   121.050700,  
18/01/08 5:30 6:00,  18000.0,   0.208516,   -0.054896,   63.102882,   16.467045,   0.010718,   -0.037316,   -0.847911,   758.352184,   395.281709,   0.956260,   3.250118,   0.943141,   -1.564416,   98.614059,   1.897160,   -39.553980,   -12.468817,   -0.160400,   0.000064,   5.552489,   60.462222,   120.924443,  
18/01/08 6:00 6:30,  17999.0,   0.217313,   -0.059604,   86.845887,   21.556477,   0.013980,   -0.047642,   -1.082544,   758.289123,   395.393225,   0.956285,   3.206346,   0.943157,   -1.538785,   98.593090,   1.967119,   -31.833591,   -10.260537,   -0.194922,   0.000070,   5.465857,   58.862239,   117.724478,  
18/01/08 6:30 7:00,  18000.0,   0.234468,   -0.069309,   94.356483,   23.184229,   0.015062,   -0.053015,   -1.204623,   757.551684,   395.448934,   0.956728,   3.131910,   0.943371,   -1.253901,   98.583286,   2.058758,   -30.884251,   -11.861693,   -0.168610,   0.000081,   4.761198,   61.133775,   122.267550,  
18/01/08 7:00 7:30,  18000.0,   0.274481,   -0.094860,   116.663363,   27.124652,   0.017515,   -0.072349,   -1.643933,   757.208393,   395.784072,   0.956441,   3.146205,   0.943268,   -0.917960,   98.559007,   2.241190,   -26.585755,   -15.398358,   -0.129884,   0.000111,   3.789456,   63.104002,   126.208003,  
18/01/08 7:30 8:00,  18000.0,   0.280901,   -0.099277,   145.000284,   33.579320,   0.021670,   -0.090912,   -2.065728,   757.075072,   395.999846,   0.956148,   3.153661,   0.943069,   -0.744640,   98.536465,   2.276743,   -27.528328,   -13.276264,   -0.150645,   0.000117,   3.715368,   62.701570,   125.403141,  
18/01/08 8:00 8:30,  17999.0,   0.269766,   -0.091460,   141.679791,   44.236910,   0.029304,   -0.091099,   -2.069988,   757.531573,   396.682490,   0.956039,   3.229781,   0.943030,   -0.511457,   98.492410,   1.973538,   -33.358132,   -11.975415,   -0.167009,   0.000107,   3.748599,   64.720771,   129.441543,  
18/01/08 8:30 9:00,  18000.0,   0.333300,   -0.139424,   73.805059,   14.287634,   0.009148,   -0.033036,   -0.750664,   756.424793,   396.653398,   0.955947,   2.843336,   0.942877,   -0.247134,   98.452346,   2.904708,   248.163189,   -43.617162,   -0.045854,   0.000164,   3.440917,   56.551096,   113.102192,  
18/01/08 9:00 9:30,  18000.0,   0.141146,   -0.024990,   47.485237,   48.672821,   0.034240,   -0.020025,   -0.455011,   755.123124,   396.194704,   0.955789,   2.691801,   0.942304,   -0.178478,   98.432653,   4.183718,   239.119573,   -4.919927,   -0.406510,   0.000029,   21.403284,   29.747324,   59.494648,  
18/01/08 9:30 10:00,  18000.0,   0.151870,   -0.028897,   45.607544,   49.988162,   0.035235,   -0.025458,   -0.578455,   753.808925,   395.977687,   0.955115,   2.631604,   0.941832,   0.129540,   98.411492,   4.869441,   243.946236,   -6.354897,   -0.314718,   0.000034,   17.535783,   32.556265,   65.112531,  
18/01/08 10:00 10:30,  17999.0,   0.345503,   -0.149265,   112.336500,   54.665922,   0.037478,   -0.051424,   -1.168476,   752.827648,   396.230454,   0.955139,   2.963968,   0.941893,   0.615677,   98.390857,   3.990479,   264.935924,   -31.385206,   -0.063724,   0.000176,   3.263952,   56.978608,   113.957217,  
