Date_Time,   npoints,   u_starr,   taur,   Hcr,   LE_wplr,   Evap,   Fc_wplr,  Fc_wpl_umol,   CO2_conc,  CO2_PPM,   CO2_sig_str,   H2O_conc,   H2O_sig_str,   Temp_amb,  Amb_Press,   wind_speed,   wind_dir_sonic,  obukhov,  zeta,  rou,  sigmaw_ustar,  Xmax,  XR90
TS,   Tot,   m/s,   Kg(m s^2),   W/m^2,   W/m^2,   L/m^2,   mg/(m^2 s),  umol/(m^2 s),   mg/m^3,  PPM,   arb,   g/m^3,   arb,   C,  kPa,   m/s,   deg,   m,   arb,   m,  arb,   m,  m,  
18/01/01 9:00 9:30,  18000.0,   0.363354,   -0.164808,   30.212886,   60.246258,   0.042726,   -0.010876,   -0.247119,   750.600589,   395.732480,   0.959517,   2.763256,   0.947993,   -1.150611,   97.635631,   7.988817,   92.553932,   -124.490484,   -0.016065,   0.000195,   2.983458,   58.315727,   116.631454,  
18/01/01 9:30 10:00,  17987.0,   0.483895,   -0.292357,   50.914009,   76.615398,   0.054168,   -0.033667,   -0.764989,   751.364456,   396.053453,   0.959192,   2.722855,   0.947905,   -1.127412,   97.658825,   8.368559,   86.383875,   -178.941559,   -0.011177,   0.000346,   1.982878,   61.216822,   122.433643,  
18/01/01 10:00 10:30,  17994.0,   0.380096,   -0.180416,   31.403938,   55.250463,   0.039117,   -0.019103,   -0.434057,   751.076131,   395.827141,   0.959555,   2.817651,   0.947993,   -1.169587,   97.671675,   7.188923,   83.692421,   -138.792988,   -0.014410,   0.000213,   2.696672,   60.529238,   121.058475,  
18/01/01 10:30 11:00,  18000.0,   0.369604,   -0.170566,   30.839885,   57.462159,   0.040706,   -0.012498,   -0.283991,   750.980899,   395.838967,   0.959461,   2.851004,   0.947992,   -1.085993,   97.685605,   7.381335,   82.917218,   -129.280174,   -0.015470,   0.000202,   2.909936,   58.517947,   117.035894,  
18/01/01 11:00 11:30,  17999.0,   0.374177,   -0.174812,   29.557064,   54.133429,   0.038331,   -0.007026,   -0.159657,   750.968183,   395.833625,   0.959413,   2.902004,   0.947952,   -1.041196,   97.698490,   7.456560,   81.668133,   -140.203761,   -0.014265,   0.000207,   2.866993,   58.517571,   117.035141,  
18/01/01 11:30 12:00,  18000.0,   0.394301,   -0.194022,   26.935445,   48.847131,   0.034576,   -0.009773,   -0.222064,   750.674346,   395.879951,   0.959460,   2.973853,   0.947933,   -0.859098,   97.708380,   7.310161,   82.461889,   -180.205833,   -0.011098,   0.000230,   2.650649,   59.224982,   118.449964,  
18/01/01 12:00 12:30,  18000.0,   0.368467,   -0.169405,   30.388929,   50.868605,   0.035955,   -0.018095,   -0.411152,   750.378912,   395.780675,   0.959565,   3.055089,   0.947978,   -0.824126,   97.717045,   7.076389,   81.684445,   -131.288173,   -0.015234,   0.000201,   2.886609,   59.071859,   118.143718,  
18/01/01 12:30 13:00,  18000.0,   0.368958,   -0.169477,   20.305541,   51.366739,   0.036508,   -0.007993,   -0.181626,   749.104398,   395.997528,   0.959554,   2.966274,   0.947992,   -0.208898,   97.710867,   7.063729,   84.987096,   -188.879884,   -0.010589,   0.000201,   2.800824,   60.436891,   120.873782,  
18/01/01 13:00 13:30,  17999.0,   0.426251,   -0.225940,   25.391852,   64.541900,   0.045921,   -0.009406,   -0.213721,   748.866947,   396.326319,   0.959468,   2.799444,   0.947952,   0.156652,   97.713301,   7.929705,   79.190743,   -232.730265,   -0.008594,   0.000268,   2.421519,   59.030009,   118.060018,  
18/01/01 13:30 14:00,  18000.0,   0.386398,   -0.185613,   20.042237,   53.542022,   0.038107,   -0.018586,   -0.422312,   748.461315,   396.222806,   0.959240,   2.832080,   0.947981,   0.229319,   97.710521,   7.219165,   83.675768,   -218.222471,   -0.009165,   0.000221,   2.621227,   60.940500,   121.881000,  
