year month day id wd wsd tmp
2000 01 16 89512 90 16 -1.4
2000 01 17 89512 120 8 -3.9
2000 01 17 89512 130 20 -2.9
2000 01 17 89512 90 18 .2
2000 01 17 89512 10 4 -.2
2000 01 18 89512 150 22 -3
2000 01 18 89512 160 26 -2.6
2000 01 18 89512 100 10 1.8
2000 01 18 89512 140 4 1.5
2000 01 19 89512 150 20 -1.6
2000 01 19 89512 140 20 .5
2000 01 19 89512 90 20 2.8
2000 01 19 89512 110 16 2
2000 01 20 89512 150 20 -.3
2000 01 20 89512 150 24 0
2000 01 20 89512 100 12 2.6
2000 01 20 89512 110 4 1.1
2000 01 21 89512 110 6 -2.5
2000 01 21 89512 140 26 -.9
2000 01 21 89512 100 28 .1
2000 01 21 89512 100 18 -.4
2000 01 22 89512 120 14 -3
2000 01 22 89512 110 24 -1.4
2000 01 22 89512 90 22 -1.6
2000 01 22 89512 100 26 -2.1
2000 01 23 89512 120 22 -4
2000 01 23 89512 100 18 -3.2
2000 01 23 89512 90 20 -.4
2000 01 23 89512 90 12 -1
2000 01 24 89512 110 10 -5.5
2000 01 24 89512 110 16 -3
2000 01 24 89512 80 14 -1
2000 01 24 89512 70 10 -3
2000 01 25 89512 180 16 -4.7
2000 01 25 89512 130 14 -2.7
2000 01 25 89512 70 8 -1.5
2000 01 25 89512 100 10 -2.4
2000 01 26 89512 100 12 -3.8
2000 01 26 89512 70 4 -3.8
2000 01 26 89512 60 10 -2.7
2000 01 26 89512 20 4 -3.3
2000 01 27 89512 130 8 -4.6
2000 01 27 89512 100 10 -3.2
2000 01 27 89512 60 12 -1.1
2000 01 27 89512 100 10 -2.3
2000 01 28 89512 120 12 -5
2000 01 28 89512 120 22 -4.1
2000 01 28 89512 80 16 -3.3
2000 01 28 89512 20 2 -2.8
2000 01 29 89512 180 6 -5.9
2000 01 29 89512 310 6 -7.7
2000 01 29 89512 330 4 -3.9
2000 01 29 89512 350 4 -4.2
2000 01 30 89512 170 14 -5.7
2000 01 30 89512 140 16 -4.8
