1-Wire/iButton Part Number: DS1922L
1-Wire/iButton Registration Number: A100000062912041
Mission in Progress?  false
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 3600 second(s)
Mission Start Time:  Tue Dec 03 00:00:01 EET 2019
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Sun Dec 29 19:00:01 EET 2019
Total Mission Samples:  4739
Total Device Samples:  7965
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  disabled
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
5.1.2020 2:00:01,C,3,544
5.1.2020 3:00:01,C,3,419
5.1.2020 4:00:01,C,3,482
5.1.2020 5:00:01,C,3,544
5.1.2020 6:00:01,C,3,67
5.1.2020 7:00:01,C,3,858
5.1.2020 8:00:01,C,3,858
5.1.2020 9:00:01,C,4,359
5.1.2020 10:00:01,C,4,109
5.1.2020 11:00:01,C,4,297
5.1.2020 12:00:01,C,3,858
5.1.2020 13:00:01,C,4,485
5.1.2020 14:00:01,C,4,234
5.1.2020 15:00:01,C,4,234
5.1.2020 16:00:01,C,4,046
5.1.2020 17:00:01,C,4,046
5.1.2020 18:00:01,C,3,983
5.1.2020 19:00:01,C,3,795
5.1.2020 20:00:01,C,3,732
5.1.2020 21:00:01,C,3,607
5.1.2020 22:00:01,C,3,544
5.1.2020 23:00:01,C,3,482
6.1.2020 0:00:01,C,3,482
6.1.2020 1:00:01,C,3,544
6.1.2020 2:00:01,C,3,419
6.1.2020 3:00:01,C,3,482
6.1.2020 4:00:01,C,3,607
6.1.2020 5:00:01,C,3,795
6.1.2020 6:00:01,C,4,359
6.1.2020 7:00:01,C,4,359
6.1.2020 8:00:01,C,4,109
6.1.2020 9:00:01,C,4,234
6.1.2020 10:00:01,C,4,297
6.1.2020 11:00:01,C,4,673
6.1.2020 12:00:01,C,4,923
6.1.2020 13:00:01,C,4,735
6.1.2020 14:00:01,C,4,673
6.1.2020 15:00:01,C,4,798
6.1.2020 16:00:01,C,4,673
6.1.2020 17:00:01,C,4,61
6.1.2020 18:00:01,C,4,485
6.1.2020 19:00:01,C,4,422
6.1.2020 20:00:01,C,3,67
6.1.2020 21:00:01,C,3,67
6.1.2020 22:00:01,C,3,67
6.1.2020 23:00:01,C,3,67
7.1.2020 0:00:01,C,2,792
7.1.2020 1:00:01,C,2,73
7.1.2020 2:00:01,C,3,294
7.1.2020 3:00:01,C,2,667
7.1.2020 4:00:01,C,3,356
7.1.2020 5:00:01,C,3,544
7.1.2020 6:00:01,C,3,795
7.1.2020 7:00:01,C,3,795
7.1.2020 8:00:01,C,4,046
7.1.2020 9:00:01,C,4,171
7.1.2020 10:00:01,C,4,359
7.1.2020 11:00:01,C,4,61
7.1.2020 12:00:01,C,4,547
7.1.2020 13:00:01,C,4,735
7.1.2020 14:00:01,C,4,798
7.1.2020 15:00:01,C,4,673
7.1.2020 16:00:01,C,4,422
7.1.2020 17:00:01,C,4,547
7.1.2020 18:00:01,C,4,297
7.1.2020 19:00:01,C,4,171
7.1.2020 20:00:01,C,3,858
7.1.2020 21:00:01,C,3,607
7.1.2020 22:00:01,C,3,544
7.1.2020 23:00:01,C,3,607
8.1.2020 0:00:01,C,3,544
8.1.2020 1:00:01,C,3,544
8.1.2020 2:00:01,C,3,544
8.1.2020 3:00:01,C,3,607
8.1.2020 4:00:01,C,3,795
8.1.2020 5:00:01,C,3,983
8.1.2020 6:00:01,C,4,61
8.1.2020 7:00:01,C,5,55
8.1.2020 8:00:01,C,5,049
8.1.2020 9:00:01,C,6,114
8.1.2020 10:00:01,C,5,55
8.1.2020 11:00:01,C,5,738
8.1.2020 12:00:01,C,5,425
8.1.2020 13:00:01,C,5,237
8.1.2020 14:00:01,C,4,923
8.1.2020 15:00:01,C,4,61
8.1.2020 16:00:01,C,4,798
8.1.2020 17:00:01,C,4,861
8.1.2020 18:00:01,C,4,61
8.1.2020 19:00:01,C,4,61
8.1.2020 20:00:01,C,4,422
8.1.2020 21:00:01,C,4,171
8.1.2020 22:00:01,C,4,109
8.1.2020 23:00:01,C,3,92
9.1.2020 0:00:01,C,3,983
9.1.2020 1:00:01,C,3,983
9.1.2020 2:00:01,C,4,109
9.1.2020 3:00:01,C,4,234
9.1.2020 4:00:01,C,4,61
9.1.2020 5:00:01,C,5,675
9.1.2020 6:00:01,C,4,359
9.1.2020 7:00:01,C,4,798
9.1.2020 8:00:01,C,4,923
9.1.2020 9:00:01,C,5,299
9.1.2020 10:00:01,C,4,986
9.1.2020 11:00:01,C,6,302
9.1.2020 12:00:01,C,5,299
9.1.2020 13:00:01,C,5,049
9.1.2020 14:00:01,C,4,798
9.1.2020 15:00:01,C,4,61
9.1.2020 16:00:01,C,2,98
9.1.2020 17:00:01,C,4,109
9.1.2020 18:00:01,C,2,918
9.1.2020 19:00:01,C,3,294
9.1.2020 20:00:01,C,3,92
9.1.2020 21:00:01,C,3,92
9.1.2020 22:00:01,C,3,92
9.1.2020 23:00:01,C,3,732
10.1.2020 0:00:01,C,3,168
10.1.2020 1:00:01,C,3,356
10.1.2020 2:00:01,C,3,043
10.1.2020 3:00:01,C,2,918
10.1.2020 4:00:01,C,3,356
10.1.2020 5:00:01,C,3,67
10.1.2020 6:00:01,C,3,607
10.1.2020 7:00:01,C,3,795
10.1.2020 8:00:01,C,3,858
10.1.2020 9:00:01,C,3,983
10.1.2020 10:00:01,C,3,983
10.1.2020 11:00:01,C,4,046
10.1.2020 12:00:01,C,4,171
10.1.2020 13:00:01,C,4,109
10.1.2020 14:00:01,C,4,171
10.1.2020 15:00:01,C,4,046
10.1.2020 16:00:01,C,3,983
10.1.2020 17:00:01,C,4,171
10.1.2020 18:00:01,C,3,92
10.1.2020 19:00:01,C,3,983
10.1.2020 20:00:01,C,3,858
10.1.2020 21:00:01,C,3,795
10.1.2020 22:00:01,C,3,67
10.1.2020 23:00:01,C,3,106
11.1.2020 0:00:01,C,3,544
11.1.2020 1:00:01,C,3,482
11.1.2020 2:00:01,C,3,607
11.1.2020 3:00:01,C,3,482
11.1.2020 4:00:01,C,3,607
11.1.2020 5:00:01,C,3,732
11.1.2020 6:00:01,C,3,482
11.1.2020 7:00:01,C,4,109
11.1.2020 8:00:01,C,3,983
11.1.2020 9:00:01,C,4,046
11.1.2020 10:00:01,C,4,046
11.1.2020 11:00:01,C,4,109
11.1.2020 12:00:01,C,4,109
11.1.2020 13:00:01,C,4,171
11.1.2020 14:00:01,C,4,109
11.1.2020 15:00:01,C,4,109
11.1.2020 16:00:01,C,3,983
11.1.2020 17:00:01,C,3,983
11.1.2020 18:00:01,C,3,983
11.1.2020 19:00:01,C,3,795
11.1.2020 20:00:01,C,3,795
11.1.2020 21:00:01,C,3,795
11.1.2020 22:00:01,C,3,356
11.1.2020 23:00:01,C,2,98
12.1.2020 0:00:01,C,2,667
12.1.2020 1:00:01,C,2,479
12.1.2020 2:00:01,C,2,291
12.1.2020 3:00:01,C,2,604
12.1.2020 4:00:01,C,3,294
12.1.2020 5:00:01,C,3,294
12.1.2020 6:00:01,C,3,356
12.1.2020 7:00:01,C,3,858
12.1.2020 8:00:01,C,3,732
12.1.2020 9:00:01,C,4,297
12.1.2020 10:00:01,C,4,422
12.1.2020 11:00:01,C,4,673
12.1.2020 12:00:01,C,4,61
12.1.2020 13:00:01,C,4,673
12.1.2020 14:00:01,C,5,049
12.1.2020 15:00:01,C,4,861
12.1.2020 16:00:01,C,4,861
12.1.2020 17:00:01,C,4,798
12.1.2020 18:00:01,C,4,61
12.1.2020 19:00:01,C,4,359
12.1.2020 20:00:01,C,4,547
12.1.2020 21:00:01,C,4,422
12.1.2020 22:00:01,C,4,234
12.1.2020 23:00:01,C,4,359
13.1.2020 0:00:01,C,4,359
13.1.2020 1:00:01,C,4,234
13.1.2020 2:00:01,C,4,297
13.1.2020 3:00:01,C,4,297
13.1.2020 4:00:01,C,4,359
13.1.2020 5:00:01,C,4,422
13.1.2020 6:00:01,C,4,359
13.1.2020 7:00:01,C,4,297
13.1.2020 8:00:01,C,4,297
13.1.2020 9:00:01,C,3,858
13.1.2020 10:00:01,C,3,732
13.1.2020 11:00:01,C,3,858
13.1.2020 12:00:01,C,4,547
13.1.2020 13:00:01,C,4,735
13.1.2020 14:00:01,C,4,735
13.1.2020 15:00:01,C,4,735
13.1.2020 16:00:01,C,4,986
13.1.2020 17:00:01,C,4,735
13.1.2020 18:00:01,C,4,673
13.1.2020 19:00:01,C,4,673
13.1.2020 20:00:01,C,4,485
13.1.2020 21:00:01,C,4,422
13.1.2020 22:00:01,C,4,422
13.1.2020 23:00:01,C,4,61
14.1.2020 0:00:01,C,4,61
14.1.2020 1:00:01,C,4,547
14.1.2020 2:00:01,C,4,547
14.1.2020 3:00:01,C,4,547
14.1.2020 4:00:01,C,4,61
14.1.2020 5:00:01,C,4,673
14.1.2020 6:00:01,C,4,798
14.1.2020 7:00:01,C,4,861
14.1.2020 8:00:01,C,4,923
14.1.2020 9:00:01,C,5,049
14.1.2020 10:00:01,C,5,174
14.1.2020 11:00:01,C,5,425
14.1.2020 12:00:01,C,5,425
14.1.2020 13:00:01,C,5,675
14.1.2020 14:00:01,C,5,863
14.1.2020 15:00:01,C,5,863
14.1.2020 16:00:01,C,6,302
14.1.2020 17:00:01,C,6,239
14.1.2020 18:00:01,C,6,177
14.1.2020 19:00:01,C,5,801
14.1.2020 20:00:01,C,5,362
14.1.2020 21:00:01,C,4,986
14.1.2020 22:00:01,C,4,861
14.1.2020 23:00:01,C,4,798
15.1.2020 0:00:01,C,4,798
15.1.2020 1:00:01,C,4,61
15.1.2020 2:00:01,C,4,61
15.1.2020 3:00:01,C,4,485
15.1.2020 4:00:01,C,4,485
15.1.2020 5:00:01,C,4,735
15.1.2020 6:00:01,C,4,673
15.1.2020 7:00:01,C,4,861
15.1.2020 8:00:01,C,4,986
15.1.2020 9:00:01,C,5,111
15.1.2020 10:00:01,C,5,237
15.1.2020 11:00:01,C,5,425
15.1.2020 12:00:01,C,5,55
15.1.2020 13:00:01,C,5,926
15.1.2020 14:00:01,C,6,114
15.1.2020 15:00:01,C,6,928
15.1.2020 16:00:01,C,7,054
15.1.2020 17:00:01,C,6,615
15.1.2020 18:00:01,C,6,239
15.1.2020 19:00:01,C,5,675
15.1.2020 20:00:01,C,5,174
15.1.2020 21:00:01,C,4,485
15.1.2020 22:00:01,C,4,735
15.1.2020 23:00:01,C,4,547
16.1.2020 0:00:01,C,4,61
16.1.2020 1:00:01,C,4,547
16.1.2020 2:00:01,C,4,485
16.1.2020 3:00:01,C,4,547
16.1.2020 4:00:01,C,4,485
16.1.2020 5:00:01,C,4,547
16.1.2020 6:00:01,C,4,735
16.1.2020 7:00:01,C,4,798
16.1.2020 8:00:01,C,4,986
16.1.2020 9:00:01,C,4,798
16.1.2020 10:00:01,C,4,986
16.1.2020 11:00:01,C,5,111
16.1.2020 12:00:01,C,5,049
16.1.2020 13:00:01,C,5,049
16.1.2020 14:00:01,C,5,049
