"","Timestamp","EEC","Ehk","Ewd","Ean","Eaf","newTS"
"1","2018-01-01",1.815545,1.527056495,2.12896111246293,2.44756442384406,1.70278050012063,2018-01-01
"2","2018-01-02",2.201925,1.71363295604167,2.43673769542864,2.79860813013225,1.94700303086766,2018-01-02
"3","2018-01-03",2.191535,1.53849820895833,2.10989545391305,2.41215201694924,1.67814394496588,2018-01-03
"4","2018-01-04",3.60526,2.74689820833333,3.84452907845271,3.71185631849506,2.58235350081458,2018-01-04
"5","2018-01-05",1.00011,0.908699725833333,1.23308864370394,1.41718734305727,0.98594298448972,2018-01-05
"6","2018-01-06",0.371549,0.451791999375,0.518939535790228,0.618277886181093,0.430138433942216,2018-01-06
"7","2018-01-07",1.446728,1.17413422375,1.51917817630613,1.77763453856659,1.23670756084048,2018-01-07
"8","2018-01-08",1.49782,1.249162269375,1.56374374145405,1.84327818122769,1.2823761093744,2018-01-08
"9","2018-01-09",1.404286,1.04304984770833,1.16736144150359,1.38774398402182,0.965459120148832,2018-01-09
"10","2018-01-10",1.572694,1.37182011604167,1.62640517007029,1.92295161623758,1.33780524136815,2018-01-10
"11","2018-01-11",4.038192,3.09671280104167,4.22083524366978,4.79012689540191,3.3325107160135,2018-01-11
"12","2018-01-12",3.395475,2.44065641666667,3.36838376966529,3.83934211818101,2.67104588890159,2018-01-12
"13","2018-01-13",4.924452,3.51679945208333,4.8052352469451,5.42337057165227,3.77306091082729,2018-01-13
"14","2018-01-14",3.967786,2.74509661916667,3.94552583479903,4.51724508640995,3.14266573434009,2018-01-14
"15","2018-01-15",4.678551,3.03834063958333,4.16061442721679,4.67548361268315,3.25275291908625,2018-01-15
"16","2018-01-16",4.088428,2.80906919583333,4.00255921259409,4.46916840095511,3.10921858920863,2018-01-16
"17","2018-01-17",2.349679,1.76909616104167,2.33869717200121,2.72106427851998,1.89305545868394,2018-01-17
"18","2018-01-18",2.451067,1.77596990020833,2.4334008856589,2.79907971166569,1.94733111205381,2018-01-18
"19","2018-01-19",1.337958,1.14113801333333,1.32074073408402,1.56841470567589,1.09115247423513,2018-01-19
"20","2018-01-20",1.039307,0.963171412083333,1.009167903703,1.20613081053922,0.839110098501632,2018-01-20
"21","2018-01-21",2.489638,1.93517336041667,2.37492284660254,2.77373058146056,1.9296956193216,2018-01-21
"22","2018-01-22",3.693835,2.50231424375,3.39298011287776,3.87154334236145,2.69344841121328,2018-01-22
"23","2018-01-23",2.238437,1.93118890270833,2.47277464497401,2.87275651094357,1.99858836023878,2018-01-23
"24","2018-01-24",1.535766,1.78345789583333,2.35233092828532,2.71643013070499,1.88983146324703,2018-01-24
"25","2018-01-25",1.487449,0.977585749166667,1.05275824800329,1.25158875489969,0.870735374828785,2018-01-25
"26","2018-01-26",1.091759,0.963323446666667,0.976967031668403,1.16803945009589,0.812609784493916,2018-01-26
"27","2018-01-27",1.154165,1.025414428125,1.10569352548427,1.3171184695852,0.916324663207842,2018-01-27
"28","2018-01-28",4.281567,3.02952996979167,4.10698849231325,4.6516743306756,3.23618870499269,2018-01-28
"29","2018-01-29",2.650433,1.88033710645833,2.60682993309762,3.00944473055459,2.09368290920444,2018-01-29
"30","2018-01-30",4.006753,2.57976783958333,3.56398489458792,4.09553078323896,2.84927738261135,2018-01-30
"31","2018-01-31",3.266423,2.34925360625,3.21531705351967,3.70333353708136,2.57642416720577,2018-01-31
"32","2018-02-01",3.751532,2.81745394583333,3.85953985628169,4.4107598060861,3.06858349277827,2018-02-01
"33","2018-02-02",4.675011,3.42493250208333,4.64940702164803,5.24542282331175,3.64926194032309,2018-02-02
"34","2018-02-03",3.777788,2.70024056854167,3.64857482834444,4.12377792578918,2.86892903429008,2018-02-03
"35","2018-02-04",3.390655,2.85554051041667,4.01047604297289,4.49435849689562,3.12674344115769,2018-02-04
"36","2018-02-05",1.64564,1.62080596666667,2.23505065238335,2.51386043989374,1.74890290746784,2018-02-05
"37","2018-02-06",2.537222,2.09910772916667,2.93252385511989,3.31754792529463,2.30803155184578,2018-02-06
"38","2018-02-07",2.052137,1.2215606625,1.76528139579692,1.98564868627808,1.38142384737485,2018-02-07
