Date_Time, npoints, u_starr, taur, Hcr, LE_wplr, Evap, Fc_wplr,Fc_wpl_umol, CO2_conc,CO2_PPM, CO2_sig_str, H2O_conc, H2O_sig_str, Temp_amb,Amb_Press, wind_speed, wind_dir,obukhov,zeta,rou,sigmaw_ustar,Xmax,XR90,Cd2m,Ce2m,
TS, Tot, m/s, Kg/(m s^2), W/m^2, W/m^2, L/m^2, mg/(m^2 s),umol/(m^2 s), mg/m^3,PPM, arb, g/m^3, arb, Celsius,kPa, m/s, Degrees, m, arb, m,arb, m,m, arb,arb,
20/01/01 18:00 18:30,35999.0,0.257113,-0.081001,-14.554585,34.848221,0.025272,0.003426,0.077843,753.421304,404.666056,0.955000,2.978409,0.945000,2.212182,97.081737,3.712936,106.914780,101.382584,0.017755,0.000098,5.024781,48.246780,96.493560,0.001629,0.001541,
20/01/01 18:30 19:00,35999.0,0.268117,-0.088051,-16.536719,37.831870,0.027447,0.005299,0.120417,753.330990,404.767508,0.955000,2.912170,0.945000,2.321095,97.082831,3.709115,104.600371,101.181445,0.017790,0.000106,4.756500,48.426778,96.853555,0.001657,0.001549,
20/01/01 19:00 19:30,36000.0,0.216799,-0.057675,-25.299321,36.275394,0.026486,0.012633,0.287054,754.341972,404.564031,0.955000,3.274267,0.945001,1.751631,97.080139,2.708982,118.683448,34.972837,0.051469,0.000069,4.896745,57.975203,115.950405,0.001474,0.001460,
20/01/01 19:30 20:00,35999.0,0.216384,-0.057430,-22.135181,35.404379,0.025796,0.009747,0.221478,753.993831,404.557369,0.955000,3.127693,0.945000,1.879405,97.077604,3.287096,114.828992,39.738168,0.045297,0.000069,6.265581,47.686152,95.372304,0.001481,0.001468,
20/01/01 20:00 20:30,36000.0,0.198506,-0.048340,-15.741403,23.356970,0.017026,0.005176,0.117600,754.451960,404.743446,0.955000,2.952478,0.945000,1.819809,97.068322,3.047126,110.622654,43.131770,0.041733,0.000058,7.002063,47.366040,94.732079,0.001438,0.001456,
20/01/01 20:30 21:00,35999.0,0.198991,-0.048630,-12.458968,22.493106,0.016347,0.005381,0.122272,755.083742,404.640138,0.955000,2.910231,0.945000,1.493628,97.064704,2.504219,107.655707,54.892334,0.032791,0.000059,6.572940,49.708444,99.416888,0.001452,0.001469,
20/01/01 21:00 21:30,36000.0,0.097118,-0.011602,-8.673672,12.540858,0.009142,0.002719,0.061776,756.259048,404.595089,0.955000,3.054116,0.945000,1.038817,97.054576,1.810008,127.730334,9.166084,0.196376,0.000018,16.164758,46.718723,93.437446,0.001029,0.001183,
20/01/01 21:30 22:00,35999.0,0.050261,-0.003109,-4.914320,5.585555,0.004090,0.002191,0.049787,756.158605,404.310402,0.955000,3.137251,0.945287,0.780510,97.051933,1.167090,131.319317,2.242467,0.802687,0.000036,34.859997,40.821525,81.643049,0.000726,0.000815,
20/01/01 22:00 22:30,35999.0,0.153239,-0.028847,-10.774442,14.841411,0.010823,0.004253,0.096627,754.907746,404.424243,0.955000,2.888163,0.945045,1.317128,97.050175,1.223657,113.293037,28.982567,0.062106,0.000035,6.690057,62.801121,125.602243,0.001283,0.001378,
20/01/01 22:30 23:00,36000.0,0.076888,-0.007270,-8.299453,9.613739,0.007035,0.002621,0.059558,755.969875,404.557471,0.955000,3.051781,0.945000,1.066791,97.041696,1.391463,135.572245,4.752941,0.378713,0.000023,20.491256,45.824785,91.649570,0.000926,0.001056,
20/01/01 23:00 23:30,35999.0,0.168655,-0.034988,0.796068,2.585306,0.001843,-0.003706,-0.084211,755.729702,404.346043,0.955000,3.037392,0.945161,0.911410,97.030412,1.370100,131.630019,-522.907582,-0.003442,0.000042,5.178205,70.394476,140.788951,0.001410,0.001488,
20/01/01 23:30 24:00,36000.0,0.179739,-0.039687,-8.291634,16.468057,0.011951,0.003103,0.070513,754.906851,404.421392,0.955000,2.822371,0.945000,1.265751,97.023004,1.601401,100.336917,60.752506,0.029628,0.000048,6.018673,58.756067,117.512134,0.001401,0.001453,
20/01/02 00:00 00:30,35999.0,0.122946,-0.018606,-14.851822,14.564057,0.010691,0.004994,0.113477,756.380241,404.398015,0.955000,3.052380,0.945000,0.700815,97.015922,1.974421,131.480945,10.856211,0.165804,0.000022,9.458867,58.603027,117.206054,0.001088,0.001217,
20/01/02 00:30 01:00,36000.0,0.187914,-0.043422,-24.590768,28.862572,0.021095,0.013450,0.305625,755.190510,404.181211,0.955000,2.865106,0.945000,0.981064,97.008497,2.924186,121.630879,23.406394,0.076902,0.000052,6.798266,51.095232,102.190464,0.001363,0.001398,
20/01/02 01:00 01:30,35999.0,0.204756,-0.051634,-20.550789,28.812615,0.021001,0.009620,0.218583,756.581358,404.295278,0.955000,3.013188,0.944974,0.786735,97.002704,3.349782,128.342015,36.234847,0.049676,0.000062,6.041437,51.750501,103.501002,0.001444,0.001451,
20/01/02 01:30 02:00,35999.0,0.195783,-0.047257,-20.248623,23.121294,0.016920,0.007161,0.162715,756.968219,404.071998,0.955000,3.160613,0.944998,0.234643,96.997095,3.271219,130.647655,32.150906,0.055986,0.000057,6.126188,53.407539,106.815077,0.001412,0.001434,
20/01/02 02:00 02:30,36000.0,0.285071,-0.099884,-29.286025,43.820493,0.031890,0.009664,0.219594,754.708721,404.114160,0.955000,2.707729,0.944951,1.199019,96.992197,4.608435,119.337096,68.597186,0.026240,0.000120,4.461825,48.055701,96.111401,0.001684,0.001555,
20/01/02 02:30 03:00,35999.0,0.272035,-0.091148,-30.169746,39.373317,0.028717,0.013117,0.298048,756.900275,404.430974,0.955000,2.901334,0.944843,0.609415,96.995199,4.108402,124.339326,57.873142,0.031103,0.000109,4.572188,49.291625,98.583251,0.001644,0.001533,
20/01/02 03:00 03:30,36000.0,0.314832,-0.122009,-36.048284,51.312441,0.037358,0.009234,0.209828,755.704855,404.045794,0.955000,2.743985,0.944995,0.706120,96.991033,4.836755,122.973752,75.069697,0.023978,0.000146,3.951467,48.135123,96.270246,0.001759,0.001588,
20/01/02 03:30 04:00,35999.0,0.326654,-0.131070,-27.488493,48.917077,0.035496,0.015778,0.358515,755.111550,404.582951,0.955000,2.348240,0.944998,1.365138,96.995409,5.199282,109.912031,109.933176,0.016374,0.000158,4.154156,44.632751,89.265503,0.001801,0.001611,
20/01/02 04:00 04:30,36000.0,0.383657,-0.180907,-31.490636,66.300696,0.048025,0.022906,0.520470,755.581132,404.613263,0.954999,2.264399,0.944985,1.273236,97.010832,5.964412,107.043526,155.491828,0.011576,0.000218,3.675531,42.137620,84.275239,0.001941,0.001664,
20/01/02 04:30 05:00,35999.0,0.406274,-0.202864,-31.565898,62.420350,0.045242,0.016905,0.384113,755.575643,404.609758,0.955000,2.308272,0.944989,1.287519,97.014611,5.411018,108.033076,184.216355,0.009771,0.000244,2.892027,48.288726,96.577451,0.001995,0.001682,
20/01/02 05:00 05:30,35999.0,0.403762,-0.200573,-20.385139,59.699490,0.043143,0.015590,0.354241,756.450534,404.653851,0.955000,2.369572,0.944936,1.052916,97.027507,4.879641,103.267776,280.044283,0.006428,0.000241,3.265124,44.086095,88.172189,0.001997,0.001686,
20/01/02 05:30 06:00,36000.0,0.282113,-0.098080,-3.571337,30.893754,0.022226,0.000718,0.016304,757.428485,404.501480,0.955000,2.700048,0.945000,0.633257,97.041055,2.979064,96.125009,545.454175,0.003300,0.000118,4.310840,49.895025,99.790051,0.001717,0.001587,
20/01/02 06:00 06:30,35999.0,0.218723,-0.058912,-4.772951,26.672775,0.019218,-0.001946,-0.044223,756.610920,404.364123,0.955000,2.719268,0.945000,0.862868,97.062434,3.306740,104.568031,190.248873,0.009461,0.000071,6.623836,45.145909,90.291817,0.001540,0.001522,
