"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
1326,01.08.18 klo 07.50.00 ip.,99.888,7.280,100.320,,,,,
1327,01.08.18 klo 08.00.00 ip.,99.904,7.179,100.322,,,,,
1328,01.08.18 klo 08.10.00 ip.,99.907,6.978,100.322,,,,,
1329,01.08.18 klo 08.20.00 ip.,99.904,6.877,100.322,,,,,
1330,01.08.18 klo 08.30.00 ip.,99.892,6.775,100.320,,,,,
1331,01.08.18 klo 08.40.00 ip.,99.920,6.775,100.323,,,,,
1332,01.08.18 klo 08.50.00 ip.,99.911,6.775,100.322,,,,,
1333,01.08.18 klo 09.00.00 ip.,99.899,6.674,100.321,,,,,
1334,01.08.18 klo 09.10.00 ip.,99.902,6.471,100.321,,,,,
1335,01.08.18 klo 09.20.00 ip.,99.909,6.370,100.322,,,,,
1336,01.08.18 klo 09.30.00 ip.,99.896,6.268,100.320,,,,,
1337,01.08.18 klo 09.40.00 ip.,99.903,6.166,100.321,,,,,
1338,01.08.18 klo 09.50.00 ip.,99.891,6.064,100.320,,,,,
1339,01.08.18 klo 10.00.00 ip.,99.910,6.064,100.322,,,,,
1340,01.08.18 klo 10.10.00 ip.,99.910,6.064,100.322,,,,,
1341,01.08.18 klo 10.20.00 ip.,99.910,6.064,100.322,,,,,
1342,01.08.18 klo 10.30.00 ip.,99.928,6.064,100.324,,,,,
1343,01.08.18 klo 10.40.00 ip.,99.916,5.962,100.322,,,,,
1344,01.08.18 klo 10.50.00 ip.,99.923,5.860,100.323,,,,,
1345,01.08.18 klo 11.00.00 ip.,99.904,5.860,100.321,,,,,
1346,01.08.18 klo 11.10.00 ip.,99.910,5.757,100.322,,,,,
1347,01.08.18 klo 11.20.00 ip.,99.920,5.757,100.323,,,,,
1348,01.08.18 klo 11.30.00 ip.,99.929,5.757,100.324,,,,,
1349,01.08.18 klo 11.40.00 ip.,99.926,5.655,100.323,,,,,
1350,01.08.18 klo 11.50.00 ip.,99.933,5.552,100.324,,,,,
1351,01.09.18 klo 12.00.00 ap.,99.920,5.450,100.323,,,,,
1352,01.09.18 klo 12.10.00 ap.,99.927,5.347,100.323,,,,,
1353,01.09.18 klo 12.20.00 ap.,99.931,5.141,100.324,,,,,
1354,01.09.18 klo 12.30.00 ap.,99.928,5.037,100.323,,,,,
1355,01.09.18 klo 12.40.00 ap.,99.931,4.831,100.323,,,,,
1356,01.09.18 klo 12.50.00 ap.,99.916,4.623,100.322,,,,,
1357,01.09.18 klo 01.00.00 ap.,99.891,4.415,100.319,,,,,
1358,01.09.18 klo 01.10.00 ap.,99.898,4.311,100.320,,,,,
1359,01.09.18 klo 01.20.00 ap.,99.911,4.102,100.321,,,,,
1360,01.09.18 klo 01.30.00 ap.,99.898,3.998,100.320,,,,,
1361,01.09.18 klo 01.40.00 ap.,99.893,3.788,100.319,,,,,
1362,01.09.18 klo 01.50.00 ap.,99.871,3.683,100.317,,,,,
1363,01.09.18 klo 02.00.00 ap.,99.877,3.578,100.318,,,,,
1364,01.09.18 klo 02.10.00 ap.,99.874,3.472,100.317,,,,,
1365,01.09.18 klo 02.20.00 ap.,99.853,3.367,100.315,,,,,
1366,01.09.18 klo 02.30.00 ap.,99.840,3.261,100.314,,,,,
1367,01.09.18 klo 02.40.00 ap.,99.818,3.155,100.312,,,,,
1368,01.09.18 klo 02.50.00 ap.,99.806,3.049,100.310,,,,,
1369,01.09.18 klo 03.00.00 ap.,99.797,3.049,100.310,,,,,
1370,01.09.18 klo 03.10.00 ap.,99.803,2.943,100.310,,,,,
1371,01.09.18 klo 03.20.00 ap.,99.794,2.943,100.309,,,,,
1372,01.09.18 klo 03.30.00 ap.,99.784,2.943,100.308,,,,,
1373,01.09.18 klo 03.40.00 ap.,99.794,2.943,100.309,,,,,
1374,01.09.18 klo 03.50.00 ap.,99.794,2.943,100.309,,,,,
1375,01.09.18 klo 04.00.00 ap.,99.765,2.943,100.306,,,,,
1376,01.09.18 klo 04.10.00 ap.,99.763,2.837,100.306,,,,,
1377,01.09.18 klo 04.20.00 ap.,99.763,2.837,100.306,,,,,
1378,01.09.18 klo 04.30.00 ap.,99.750,2.730,100.305,,,,,
1379,01.09.18 klo 04.40.00 ap.,99.750,2.730,100.305,,,,,
1380,01.09.18 klo 04.50.00 ap.,99.731,2.730,100.303,,,,,
1381,01.09.18 klo 05.00.00 ap.,99.731,2.730,100.303,,,,,
1382,01.09.18 klo 05.10.00 ap.,99.712,2.730,100.301,,,,,
1383,01.09.18 klo 05.20.00 ap.,99.703,2.730,100.300,,,,,
1384,01.09.18 klo 05.30.00 ap.,99.694,2.730,100.299,,,,,
1385,01.09.18 klo 05.40.00 ap.,99.684,2.730,100.298,,,,,
1386,01.09.18 klo 05.50.00 ap.,99.672,2.624,100.297,,,,,
1387,01.09.18 klo 06.00.00 ap.,99.672,2.624,100.297,,,,,
1388,01.09.18 klo 06.10.00 ap.,99.684,2.730,100.298,,,,,
1389,01.09.18 klo 06.20.00 ap.,99.668,2.837,100.296,,,,,
1390,01.09.18 klo 06.30.00 ap.,99.662,2.943,100.296,,,,,
1391,01.09.18 klo 06.40.00 ap.,99.662,2.943,100.296,,,,,
1392,01.09.18 klo 06.50.00 ap.,99.630,2.837,100.292,,,,,
1393,01.09.18 klo 07.00.00 ap.,99.624,2.943,100.292,,,,,
1394,01.09.18 klo 07.10.00 ap.,99.636,3.049,100.293,,,,,
1395,01.09.18 klo 07.20.00 ap.,99.630,3.155,100.292,,,,,
1396,01.09.18 klo 07.30.00 ap.,99.614,3.261,100.291,,,,,
1397,01.09.18 klo 07.40.00 ap.,99.604,3.261,100.290,,,,,
1398,01.09.18 klo 07.50.00 ap.,99.604,3.261,100.290,,,,,
1399,01.09.18 klo 08.00.00 ap.,99.589,3.367,100.288,,,,,
1400,01.09.18 klo 08.10.00 ap.,99.591,3.472,100.289,,,,,
1401,01.09.18 klo 08.20.00 ap.,99.573,3.472,100.287,,,,,
1402,01.09.18 klo 08.30.00 ap.,99.563,3.472,100.286,,,,,
1403,01.09.18 klo 08.40.00 ap.,99.557,3.578,100.285,,,,,
1404,01.09.18 klo 08.50.00 ap.,99.560,3.683,100.285,,,,,
1405,01.09.18 klo 09.00.00 ap.,99.553,3.788,100.285,,,,,
1406,01.09.18 klo 09.10.00 ap.,99.544,3.788,100.284,,,,,
1407,01.09.18 klo 09.20.00 ap.,99.547,3.893,100.284,,,,,
1408,01.09.18 klo 09.30.00 ap.,99.537,3.893,100.283,,,,,
1409,01.09.18 klo 09.40.00 ap.,99.540,3.998,100.283,,,,,
1410,01.09.18 klo 09.50.00 ap.,99.521,3.998,100.281,,,,,
1411,01.09.18 klo 10.00.00 ap.,99.505,4.102,100.280,,,,,
1412,01.09.18 klo 10.10.00 ap.,99.511,4.311,100.280,,,,,
1413,01.09.18 klo 10.20.00 ap.,99.495,4.415,100.279,,,,,
1414,01.09.18 klo 10.30.00 ap.,99.498,4.519,100.279,,,,,
1415,01.09.18 klo 10.40.00 ap.,99.482,4.623,100.278,,,,,
1416,01.09.18 klo 10.50.00 ap.,99.485,4.727,100.278,,,,,
1417,01.09.18 klo 11.00.00 ap.,99.453,4.934,100.275,,,,,
1418,01.09.18 klo 11.10.00 ap.,99.430,5.141,100.272,,,,,
1419,01.09.18 klo 11.20.00 ap.,99.433,5.244,100.273,,,,,
1420,01.09.18 klo 11.30.00 ap.,99.430,5.450,100.273,,,,,
1421,01.09.18 klo 11.40.00 ap.,99.423,5.552,100.272,,,,,
1422,01.09.18 klo 11.50.00 ap.,99.410,5.757,100.271,,,,,
1423,01.09.18 klo 12.00.00 ip.,99.403,5.860,100.270,,,,,
1424,01.09.18 klo 12.10.00 ip.,99.372,6.064,100.267,,,,,
1425,01.09.18 klo 12.20.00 ip.,99.368,6.268,100.267,,,,,
1426,01.09.18 klo 12.30.00 ip.,99.336,6.471,100.263,,,,,
1427,01.09.18 klo 12.40.00 ip.,99.348,6.573,100.265,,,,,
1428,01.09.18 klo 12.50.00 ip.,99.354,6.775,100.265,,,,,
1429,01.09.18 klo 01.00.00 ip.,99.341,6.978,100.264,,,,,
1430,01.09.18 klo 01.10.00 ip.,99.334,7.079,100.264,,,,,
1431,01.09.18 klo 01.20.00 ip.,99.337,7.179,100.264,,,,,
1432,01.09.18 klo 01.30.00 ip.,99.321,7.280,100.262,,,,,
1433,01.09.18 klo 01.40.00 ip.,99.315,7.381,100.262,,,,,
1434,01.09.18 klo 01.50.00 ip.,99.302,7.582,100.261,,,,,
1435,01.09.18 klo 02.00.00 ip.,99.286,7.682,100.259,,,,,
1436,01.09.18 klo 02.10.00 ip.,99.270,7.782,100.258,,,,,
1437,01.09.18 klo 02.20.00 ip.,99.282,7.882,100.259,,,,,
1438,01.09.18 klo 02.30.00 ip.,99.266,7.983,100.257,,,,,
1439,01.09.18 klo 02.40.00 ip.,99.240,8.082,100.255,,,,,
1440,01.09.18 klo 02.50.00 ip.,99.224,8.182,100.253,,,,,
1441,01.09.18 klo 03.00.00 ip.,99.237,8.282,100.255,,,,,
1442,01.09.18 klo 03.10.00 ip.,99.208,8.282,100.252,,,,,
1443,01.09.18 klo 03.20.00 ip.,99.202,8.382,100.251,,,,,
1444,01.09.18 klo 03.30.00 ip.,99.167,8.481,100.248,,,,,
1445,01.09.18 klo 03.40.00 ip.,99.151,8.581,100.246,,,,,
1446,01.09.18 klo 03.50.00 ip.,99.141,8.581,100.245,,,,,
1447,01.09.18 klo 04.00.00 ip.,99.141,8.581,100.245,,,,,
1448,01.09.18 klo 04.10.00 ip.,99.120,8.481,100.243,,,,,
1449,01.09.18 klo 04.20.00 ip.,99.107,8.382,100.241,,,,,
1450,01.09.18 klo 04.30.00 ip.,99.136,8.382,100.244,,,,,
1451,01.09.18 klo 04.40.00 ip.,99.107,8.382,100.241,,,,,
1452,01.09.18 klo 04.50.00 ip.,99.095,8.282,100.240,,,,,
1453,01.09.18 klo 05.00.00 ip.,99.086,8.282,100.239,,,,,
1454,01.09.18 klo 05.10.00 ip.,99.079,8.382,100.239,,,,,
1455,01.09.18 klo 05.20.00 ip.,99.060,8.382,100.237,,,,,
1456,01.09.18 klo 05.30.00 ip.,99.041,8.382,100.235,,,,,
1457,01.09.18 klo 05.40.00 ip.,99.044,8.481,100.235,,,,,
1458,01.09.18 klo 05.50.00 ip.,99.025,8.481,100.233,,,,,
1459,01.09.18 klo 06.00.00 ip.,99.009,8.581,100.232,,,,,
1460,01.09.18 klo 06.10.00 ip.,99.016,8.481,100.232,,,,,
1461,01.09.18 klo 06.20.00 ip.,98.997,8.481,100.230,,,,,
1462,01.09.18 klo 06.30.00 ip.,98.997,8.481,100.230,,,,,
1463,01.09.18 klo 06.40.00 ip.,98.997,8.481,100.230,,,,,
1464,01.09.18 klo 06.50.00 ip.,98.978,8.481,100.228,,,,,
1465,01.09.18 klo 07.00.00 ip.,98.975,8.382,100.228,,,,,
1466,01.09.18 klo 07.10.00 ip.,98.972,8.282,100.228,,,,,
1467,01.09.18 klo 07.20.00 ip.,98.951,8.182,100.225,,,,,
1468,01.09.18 klo 07.30.00 ip.,98.938,8.082,100.224,,,,,
1469,01.09.18 klo 07.40.00 ip.,98.935,7.983,100.224,,,,,
1470,01.09.18 klo 07.50.00 ip.,98.904,7.882,100.220,,,,,
1471,01.09.18 klo 08.00.00 ip.,98.911,7.782,100.221,,,,,
1472,01.09.18 klo 08.10.00 ip.,98.908,7.682,100.221,,,,,
1473,01.09.18 klo 08.20.00 ip.,98.889,7.682,100.219,,,,,
1474,01.09.18 klo 08.30.00 ip.,98.889,7.682,100.219,,,,,
1475,01.09.18 klo 08.40.00 ip.,98.898,7.682,100.220,,,,,
1476,01.09.18 klo 08.50.00 ip.,98.886,7.582,100.218,,,,,
1477,01.09.18 klo 09.00.00 ip.,98.883,7.481,100.218,,,,,
1478,01.09.18 klo 09.10.00 ip.,98.883,7.481,100.218,,,,,
1479,01.09.18 klo 09.20.00 ip.,98.890,7.381,100.219,,,,,
1480,01.09.18 klo 09.30.00 ip.,98.871,7.381,100.217,,,,,
1481,01.09.18 klo 09.40.00 ip.,98.871,7.381,100.217,,,,,
1482,01.09.18 klo 09.50.00 ip.,98.874,7.481,100.217,,,,,
1483,01.09.18 klo 10.00.00 ip.,98.864,7.481,100.216,,,,,
1484,01.09.18 klo 10.10.00 ip.,98.855,7.481,100.215,,,,,
1485,01.09.18 klo 10.20.00 ip.,98.843,7.381,100.214,,,,,
1486,01.09.18 klo 10.30.00 ip.,98.840,7.280,100.213,,,,,
1487,01.09.18 klo 10.40.00 ip.,98.834,7.079,100.213,,,,,
1488,01.09.18 klo 10.50.00 ip.,98.828,6.877,100.212,,,,,
1489,01.09.18 klo 11.00.00 ip.,98.835,6.775,100.213,,,,,
1490,01.09.18 klo 11.10.00 ip.,98.841,6.674,100.213,,,,,
1491,01.09.18 klo 11.20.00 ip.,98.821,6.268,100.211,,,,,
1492,01.09.18 klo 11.30.00 ip.,98.812,5.962,100.210,,,,,
1493,01.09.18 klo 11.40.00 ip.,98.816,5.757,100.210,,,,,
1494,01.09.18 klo 11.50.00 ip.,98.829,5.552,100.211,,,,,
1495,01.10.18 klo 12.00.00 ap.,98.807,5.450,100.209,,,,,
1496,01.10.18 klo 12.10.00 ap.,98.795,5.347,100.208,,,,,
1497,01.10.18 klo 12.20.00 ap.,98.814,5.347,100.210,,,,,
1498,01.10.18 klo 12.30.00 ap.,98.801,5.244,100.208,,,,,
1499,01.10.18 klo 12.40.00 ap.,98.805,5.037,100.209,,,,,
1500,01.10.18 klo 12.50.00 ap.,98.802,4.934,100.208,,,,,
1501,01.10.18 klo 01.00.00 ap.,98.806,4.727,100.209,,,,,
1502,01.10.18 klo 01.10.00 ap.,98.822,4.623,100.210,,,,,
1503,01.10.18 klo 01.20.00 ap.,98.809,4.519,100.209,,,,,
1504,01.10.18 klo 01.30.00 ap.,98.816,4.415,100.210,,,,,
1505,01.10.18 klo 01.40.00 ap.,98.804,4.311,100.208,,,,,
1506,01.10.18 klo 01.50.00 ap.,98.820,4.207,100.210,,,,,
1507,01.10.18 klo 02.00.00 ap.,98.801,4.207,100.208,,,,,
1508,01.10.18 klo 02.10.00 ap.,98.807,4.102,100.209,,,,,
1509,01.10.18 klo 02.20.00 ap.,98.811,3.893,100.209,,,,,
1510,01.10.18 klo 02.30.00 ap.,98.808,3.788,100.209,,,,,
1511,01.10.18 klo 02.40.00 ap.,98.796,3.683,100.207,,,,,
1512,01.10.18 klo 02.50.00 ap.,98.815,3.683,100.209,,,,,
1513,01.10.18 klo 03.00.00 ap.,98.805,3.683,100.208,,,,,
1514,01.10.18 klo 03.10.00 ap.,98.802,3.578,100.208,,,,,
1515,01.10.18 klo 03.20.00 ap.,98.812,3.578,100.209,,,,,
1516,01.10.18 klo 03.30.00 ap.,98.793,3.578,100.207,,,,,
1517,01.10.18 klo 03.40.00 ap.,98.793,3.578,100.207,,,,,
1518,01.10.18 klo 03.50.00 ap.,98.793,3.578,100.207,,,,,
1519,01.10.18 klo 04.00.00 ap.,98.777,3.683,100.206,,,,,
1520,01.10.18 klo 04.10.00 ap.,98.796,3.683,100.207,,,,,
1521,01.10.18 klo 04.20.00 ap.,98.777,3.683,100.206,,,,,
1522,01.10.18 klo 04.30.00 ap.,98.777,3.683,100.206,,,,,
1523,01.10.18 klo 04.40.00 ap.,98.799,3.788,100.208,,,,,
1524,01.10.18 klo 04.50.00 ap.,98.799,3.788,100.208,,,,,
1525,01.10.18 klo 05.00.00 ap.,98.818,3.788,100.210,,,,,
1526,01.10.18 klo 05.10.00 ap.,98.799,3.788,100.208,,,,,
1527,01.10.18 klo 05.20.00 ap.,98.818,3.788,100.210,,,,,
1528,01.10.18 klo 05.30.00 ap.,98.796,3.683,100.207,,,,,
1529,01.10.18 klo 05.40.00 ap.,98.786,3.683,100.206,,,,,
1530,01.10.18 klo 05.50.00 ap.,98.802,3.578,100.208,,,,,
1531,01.10.18 klo 06.00.00 ap.,98.831,3.578,100.211,,,,,
1532,01.10.18 klo 06.10.00 ap.,98.821,3.578,100.210,,,,,
1533,01.10.18 klo 06.20.00 ap.,98.812,3.578,100.209,,,,,
1534,01.10.18 klo 06.30.00 ap.,98.831,3.578,100.211,,,,,
1535,01.10.18 klo 06.40.00 ap.,98.809,3.472,100.209,,,,,
1536,01.10.18 klo 06.50.00 ap.,98.818,3.472,100.210,,,,,
1537,01.10.18 klo 07.00.00 ap.,98.840,3.578,100.212,,,,,
1538,01.10.18 klo 07.10.00 ap.,98.836,3.788,100.212,,,,,
1539,01.10.18 klo 07.20.00 ap.,98.834,3.683,100.211,,,,,
1540,01.10.18 klo 07.30.00 ap.,98.834,3.683,100.211,,,,,
1541,01.10.18 klo 07.40.00 ap.,98.846,3.788,100.213,,,,,
1542,01.10.18 klo 07.50.00 ap.,98.846,3.788,100.213,,,,,
1543,01.10.18 klo 08.00.00 ap.,98.855,3.788,100.214,,,,,
1544,01.10.18 klo 08.10.00 ap.,98.855,3.788,100.214,,,,,
1545,01.10.18 klo 08.20.00 ap.,98.865,3.788,100.215,,,,,
1546,01.10.18 klo 08.30.00 ap.,98.870,3.998,100.215,,,,,
1547,01.10.18 klo 08.40.00 ap.,98.861,3.998,100.214,,,,,
1548,01.10.18 klo 08.50.00 ap.,98.895,4.207,100.218,,,,,
1549,01.10.18 klo 09.00.00 ap.,98.876,4.207,100.216,,,,,
1550,01.10.18 klo 09.10.00 ap.,98.889,4.311,100.217,,,,,
1551,01.10.18 klo 09.20.00 ap.,98.898,4.311,100.218,,,,,
1552,01.10.18 klo 09.30.00 ap.,98.907,4.623,100.219,,,,,
1553,01.10.18 klo 09.40.00 ap.,98.906,4.934,100.219,,,,,
1554,01.10.18 klo 09.50.00 ap.,98.921,5.141,100.221,,,,,
1555,01.10.18 klo 10.00.00 ap.,98.939,5.450,100.223,,,,,
1556,01.10.18 klo 10.10.00 ap.,98.945,5.655,100.223,,,,,
1557,01.10.18 klo 10.20.00 ap.,98.960,5.860,100.225,,,,,
1558,01.10.18 klo 10.30.00 ap.,98.966,6.064,100.226,,,,,
1559,01.10.18 klo 10.40.00 ap.,98.972,6.268,100.226,,,,,
1560,01.10.18 klo 10.50.00 ap.,98.974,6.370,100.226,,,,,
1561,01.10.18 klo 11.00.00 ap.,98.968,6.471,100.226,,,,,
1562,01.10.18 klo 11.10.00 ap.,98.980,6.573,100.227,,,,,
1563,01.10.18 klo 11.20.00 ap.,98.999,6.573,100.229,,,,,
1564,01.10.18 klo 11.30.00 ap.,99.002,6.674,100.230,,,,,
1565,01.10.18 klo 11.40.00 ap.,99.005,6.775,100.230,,,,,
1566,01.10.18 klo 11.50.00 ap.,98.998,6.877,100.229,,,,,
1567,01.10.18 klo 12.00.00 ip.,99.013,7.079,100.231,,,,,
1568,01.10.18 klo 12.10.00 ip.,98.995,7.079,100.229,,,,,
1569,01.10.18 klo 12.20.00 ip.,98.988,7.179,100.228,,,,,
1570,01.10.18 klo 12.30.00 ip.,99.000,7.280,100.230,,,,,
1571,01.10.18 klo 12.40.00 ip.,99.003,7.381,100.230,,,,,
1572,01.10.18 klo 12.50.00 ip.,98.997,7.481,100.229,,,,,
1573,01.10.18 klo 01.00.00 ip.,98.997,7.481,100.229,,,,,
1574,01.10.18 klo 01.10.00 ip.,99.006,7.481,100.230,,,,,
1575,01.10.18 klo 01.20.00 ip.,98.987,7.481,100.228,,,,,
1576,01.10.18 klo 01.30.00 ip.,98.984,7.381,100.228,,,,,
1577,01.10.18 klo 01.40.00 ip.,98.975,7.381,100.227,,,,,
1578,01.10.18 klo 01.50.00 ip.,98.975,7.381,100.227,,,,,
1579,01.10.18 klo 02.00.00 ip.,98.984,7.381,100.228,,,,,
1580,01.10.18 klo 02.10.00 ip.,98.984,7.381,100.228,,,,,
1581,01.10.18 klo 02.20.00 ip.,99.003,7.381,100.230,,,,,
1582,01.10.18 klo 02.30.00 ip.,98.997,7.481,100.229,,,,,
1583,01.10.18 klo 02.40.00 ip.,98.999,7.582,100.230,,,,,
1584,01.10.18 klo 02.50.00 ip.,99.009,7.582,100.231,,,,,
1585,01.10.18 klo 03.00.00 ip.,99.015,7.782,100.232,,,,,
1586,01.10.18 klo 03.10.00 ip.,98.989,7.882,100.229,,,,,
1587,01.10.18 klo 03.20.00 ip.,99.004,8.082,100.231,,,,,
1588,01.10.18 klo 03.30.00 ip.,98.988,8.182,100.229,,,,,
1589,01.10.18 klo 03.40.00 ip.,98.985,8.382,100.229,,,,,
1590,01.10.18 klo 03.50.00 ip.,98.978,8.481,100.228,,,,,
1591,01.10.18 klo 04.00.00 ip.,98.965,8.680,100.227,,,,,
1592,01.10.18 klo 04.10.00 ip.,98.968,8.779,100.228,,,,,
1593,01.10.18 klo 04.20.00 ip.,98.955,8.978,100.226,,,,,
1594,01.10.18 klo 04.30.00 ip.,98.958,9.077,100.227,,,,,
1595,01.10.18 klo 04.40.00 ip.,98.970,9.176,100.228,,,,,
1596,01.10.18 klo 04.50.00 ip.,98.960,9.176,100.227,,,,,
1597,01.10.18 klo 05.00.00 ip.,98.954,9.275,100.227,,,,,
1598,01.10.18 klo 05.10.00 ip.,98.919,9.373,100.223,,,,,
1599,01.10.18 klo 05.20.00 ip.,98.934,9.571,100.225,,,,,
1600,01.10.18 klo 05.30.00 ip.,98.918,9.669,100.223,,,,,
1601,01.10.18 klo 05.40.00 ip.,98.902,9.768,100.222,,,,,
1602,01.10.18 klo 05.50.00 ip.,98.914,9.866,100.223,,,,,
1603,01.10.18 klo 06.00.00 ip.,98.908,9.965,100.223,,,,,
1604,01.10.18 klo 06.10.00 ip.,98.914,9.866,100.223,,,,,
1605,01.10.18 klo 06.20.00 ip.,98.898,9.965,100.222,,,,,
1606,01.10.18 klo 06.30.00 ip.,98.898,9.965,100.222,,,,,
1607,01.10.18 klo 06.40.00 ip.,98.889,9.965,100.221,,,,,
1608,01.10.18 klo 06.50.00 ip.,98.874,9.768,100.219,,,,,
1609,01.10.18 klo 07.00.00 ip.,98.865,9.472,100.218,,,,,
1610,01.10.18 klo 07.10.00 ip.,98.878,9.275,100.219,,,,,
1611,01.10.18 klo 07.20.00 ip.,98.878,9.275,100.219,,,,,
1612,01.10.18 klo 07.30.00 ip.,98.875,9.176,100.218,,,,,
1613,01.10.18 klo 07.40.00 ip.,98.875,9.176,100.218,,,,,
1614,01.10.18 klo 07.50.00 ip.,98.863,9.077,100.217,,,,,
1615,01.10.18 klo 08.00.00 ip.,98.879,8.978,100.219,,,,,
1616,01.10.18 klo 08.10.00 ip.,98.864,8.779,100.217,,,,,
1617,01.10.18 klo 08.20.00 ip.,98.873,8.779,100.218,,,,,
1618,01.10.18 klo 08.30.00 ip.,98.880,8.680,100.218,,,,,
1619,01.10.18 klo 08.40.00 ip.,98.871,8.680,100.218,,,,,
1620,01.10.18 klo 08.50.00 ip.,98.861,8.680,100.217,,,,,
1621,01.10.18 klo 09.00.00 ip.,98.871,8.680,100.218,,,,,
1622,01.10.18 klo 09.10.00 ip.,98.880,8.680,100.218,,,,,
1623,01.10.18 klo 09.20.00 ip.,98.887,8.581,100.219,,,,,
1624,01.10.18 klo 09.30.00 ip.,98.893,8.481,100.220,,,,,
1625,01.10.18 klo 09.40.00 ip.,98.893,8.481,100.220,,,,,
1626,01.10.18 klo 09.50.00 ip.,98.900,8.382,100.220,,,,,
1627,01.10.18 klo 10.00.00 ip.,98.906,8.282,100.221,,,,,
1628,01.10.18 klo 10.10.00 ip.,98.922,8.182,100.222,,,,,
1629,01.10.18 klo 10.20.00 ip.,98.929,8.082,100.223,,,,,
1630,01.10.18 klo 10.30.00 ip.,98.942,7.882,100.224,,,,,
1631,01.10.18 klo 10.40.00 ip.,98.958,7.782,100.226,,,,,
1632,01.10.18 klo 10.50.00 ip.,98.974,7.682,100.227,,,,,
1633,01.10.18 klo 11.00.00 ip.,98.997,7.481,100.229,,,,,
1634,01.10.18 klo 11.10.00 ip.,99.000,7.280,100.230,,,,,
1635,01.10.18 klo 11.20.00 ip.,99.013,7.079,100.231,,,,,
1636,01.10.18 klo 11.30.00 ip.,98.998,6.877,100.229,,,,,
1637,01.10.18 klo 11.40.00 ip.,99.024,6.775,100.232,,,,,
1638,01.10.18 klo 11.50.00 ip.,99.018,6.573,100.231,,,,,
1639,01.11.18 klo 12.00.00 ap.,99.022,6.370,100.231,,,,,
1640,01.11.18 klo 12.10.00 ap.,99.038,6.268,100.233,,,,,
1641,01.11.18 klo 12.20.00 ap.,99.035,6.166,100.233,,,,,
1642,01.11.18 klo 12.30.00 ap.,99.051,6.064,100.234,,,,,
1643,01.11.18 klo 12.40.00 ap.,99.048,5.962,100.234,,,,,
1644,01.11.18 klo 12.50.00 ap.,99.057,5.962,100.235,,,,,
1645,01.11.18 klo 01.00.00 ap.,99.073,5.860,100.236,,,,,
1646,01.11.18 klo 01.10.00 ap.,99.080,5.757,100.237,,,,,
1647,01.11.18 klo 01.20.00 ap.,99.086,5.655,100.238,,,,,
1648,01.11.18 klo 01.30.00 ap.,99.102,5.552,100.239,,,,,
1649,01.11.18 klo 01.40.00 ap.,99.121,5.552,100.241,,,,,
1650,01.11.18 klo 01.50.00 ap.,99.150,5.552,100.244,,,,,
1651,01.11.18 klo 02.00.00 ap.,99.165,5.450,100.246,,,,,
1652,01.11.18 klo 02.10.00 ap.,99.137,5.450,100.243,,,,,
1653,01.11.18 klo 02.20.00 ap.,99.175,5.450,100.247,,,,,
1654,01.11.18 klo 02.30.00 ap.,99.172,5.347,100.246,,,,,
1655,01.11.18 klo 02.40.00 ap.,99.191,5.347,100.248,,,,,
1656,01.11.18 klo 02.50.00 ap.,99.179,5.244,100.247,,,,,
1657,01.11.18 klo 03.00.00 ap.,99.179,5.244,100.247,,,,,
1658,01.11.18 klo 03.10.00 ap.,99.185,5.141,100.247,,,,,
1659,01.11.18 klo 03.20.00 ap.,99.192,5.037,100.248,,,,,
1660,01.11.18 klo 03.30.00 ap.,99.189,4.934,100.248,,,,,
1661,01.11.18 klo 03.40.00 ap.,99.189,4.934,100.248,,,,,
1662,01.11.18 klo 03.50.00 ap.,99.208,4.934,100.250,,,,,
1663,01.11.18 klo 04.00.00 ap.,99.205,4.831,100.249,,,,,
1664,01.11.18 klo 04.10.00 ap.,99.192,4.727,100.248,,,,,
1665,01.11.18 klo 04.20.00 ap.,99.192,4.727,100.248,,,,,
1666,01.11.18 klo 04.30.00 ap.,99.208,4.623,100.250,,,,,
1667,01.11.18 klo 04.40.00 ap.,99.196,4.519,100.248,,,,,
1668,01.11.18 klo 04.50.00 ap.,99.206,4.519,100.249,,,,,
1669,01.11.18 klo 05.00.00 ap.,99.215,4.519,100.250,,,,,
1670,01.11.18 klo 05.10.00 ap.,99.206,4.519,100.249,,,,,
1671,01.11.18 klo 05.20.00 ap.,99.196,4.519,100.248,,,,,
1672,01.11.18 klo 05.30.00 ap.,99.206,4.519,100.249,,,,,
1673,01.11.18 klo 05.40.00 ap.,99.199,4.623,100.249,,,,,
1674,01.11.18 klo 05.50.00 ap.,99.205,4.831,100.249,,,,,
1675,01.11.18 klo 06.00.00 ap.,99.213,5.141,100.250,,,,,
1676,01.11.18 klo 06.10.00 ap.,99.220,5.037,100.251,,,,,
1677,01.11.18 klo 06.20.00 ap.,99.211,5.037,100.250,,,,,
1678,01.11.18 klo 06.30.00 ap.,99.227,4.934,100.252,,,,,
