"Plot Title: PARVATI"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 20183676, SEN S/N: 20183676, LBL: PRES)","Temp, °C (LGR S/N: 20183676, SEN S/N: 20183676, LBL: TMP)","Water Level, meters (LGR S/N: 20183676)","Coupler Detached (LGR S/N: 20183676)","Coupler Attached (LGR S/N: 20183676)","Host Connected (LGR S/N: 20183676)","Stopped (LGR S/N: 20183676)","End Of File (LGR S/N: 20183676)"
98,12.31.17 klo 07.10.00 ap.,99.553,0.674,100.285,,,,,
99,12.31.17 klo 07.20.00 ap.,99.572,0.674,100.287,,,,,
100,12.31.17 klo 07.30.00 ap.,99.562,0.674,100.286,,,,,
101,12.31.17 klo 07.40.00 ap.,99.606,0.563,100.291,,,,,
102,12.31.17 klo 07.50.00 ap.,99.616,0.563,100.292,,,,,
103,12.31.17 klo 08.00.00 ap.,99.588,0.563,100.289,,,,,
104,12.31.17 klo 08.10.00 ap.,99.569,0.563,100.287,,,,,
105,12.31.17 klo 08.20.00 ap.,99.569,0.563,100.287,,,,,
106,12.31.17 klo 08.30.00 ap.,99.606,0.563,100.291,,,,,
107,12.31.17 klo 08.40.00 ap.,99.578,0.563,100.288,,,,,
108,12.31.17 klo 08.50.00 ap.,99.606,0.563,100.291,,,,,
109,12.31.17 klo 09.00.00 ap.,99.597,0.563,100.290,,,,,
110,12.31.17 klo 09.10.00 ap.,99.613,0.453,100.291,,,,,
111,12.31.17 klo 09.20.00 ap.,99.613,0.453,100.291,,,,,
112,12.31.17 klo 09.30.00 ap.,99.585,0.453,100.288,,,,,
113,12.31.17 klo 09.40.00 ap.,99.613,0.453,100.291,,,,,
114,12.31.17 klo 09.50.00 ap.,99.603,0.453,100.290,,,,,
115,12.31.17 klo 10.00.00 ap.,99.632,0.453,100.293,,,,,
116,12.31.17 klo 10.10.00 ap.,99.575,0.453,100.287,,,,,
117,12.31.17 klo 10.20.00 ap.,99.563,0.343,100.286,,,,,
118,12.31.17 klo 10.30.00 ap.,99.688,0.453,100.299,,,,,
119,12.31.17 klo 10.40.00 ap.,99.660,0.453,100.296,,,,,
120,12.31.17 klo 10.50.00 ap.,99.632,0.453,100.293,,,,,
121,12.31.17 klo 11.00.00 ap.,99.660,0.453,100.296,,,,,
122,12.31.17 klo 11.10.00 ap.,99.651,0.453,100.295,,,,,
123,12.31.17 klo 11.20.00 ap.,99.660,0.453,100.296,,,,,
124,12.31.17 klo 11.30.00 ap.,99.691,0.563,100.299,,,,,
125,12.31.17 klo 11.40.00 ap.,99.606,0.563,100.291,,,,,
126,12.31.17 klo 11.50.00 ap.,99.663,0.563,100.296,,,,,
127,12.31.17 klo 12.00.00 ip.,99.682,0.563,100.298,,,,,
128,12.31.17 klo 12.10.00 ip.,99.657,0.674,100.296,,,,,
129,12.31.17 klo 12.20.00 ip.,99.657,0.674,100.296,,,,,
130,12.31.17 klo 12.30.00 ip.,99.685,0.674,100.299,,,,,
131,12.31.17 klo 12.40.00 ip.,99.685,0.674,100.299,,,,,
132,12.31.17 klo 12.50.00 ip.,99.697,0.784,100.300,,,,,
133,12.31.17 klo 01.00.00 ip.,99.669,0.784,100.297,,,,,
134,12.31.17 klo 01.10.00 ip.,99.735,0.784,100.304,,,,,
135,12.31.17 klo 01.20.00 ip.,99.716,0.784,100.302,,,,,
136,12.31.17 klo 01.30.00 ip.,99.725,0.784,100.303,,,,,
137,12.31.17 klo 01.40.00 ip.,99.763,0.784,100.306,,,,,
138,12.31.17 klo 01.50.00 ip.,99.725,0.784,100.303,,,,,
139,12.31.17 klo 02.00.00 ip.,99.716,0.784,100.302,,,,,
140,12.31.17 klo 02.10.00 ip.,99.716,0.784,100.302,,,,,
141,12.31.17 klo 02.20.00 ip.,99.735,0.784,100.304,,,,,
142,12.31.17 klo 02.30.00 ip.,99.716,0.784,100.302,,,,,
143,12.31.17 klo 02.40.00 ip.,99.707,0.784,100.301,,,,,
144,12.31.17 klo 02.50.00 ip.,99.735,0.784,100.304,,,,,
145,12.31.17 klo 03.00.00 ip.,99.678,0.784,100.298,,,,,
146,12.31.17 klo 03.10.00 ip.,99.697,0.784,100.300,,,,,
147,12.31.17 klo 03.20.00 ip.,99.681,0.893,100.298,,,,,
148,12.31.17 klo 03.30.00 ip.,99.710,0.893,100.301,,,,,
149,12.31.17 klo 03.40.00 ip.,99.691,0.893,100.299,,,,,
150,12.31.17 klo 03.50.00 ip.,99.662,0.893,100.296,,,,,
151,12.31.17 klo 04.00.00 ip.,99.675,1.003,100.297,,,,,
152,12.31.17 klo 04.10.00 ip.,99.684,1.003,100.298,,,,,
153,12.31.17 klo 04.20.00 ip.,99.684,1.003,100.298,,,,,
154,12.31.17 klo 04.30.00 ip.,99.678,1.112,100.298,,,,,
155,12.31.17 klo 04.40.00 ip.,99.649,1.112,100.295,,,,,
156,12.31.17 klo 04.50.00 ip.,99.640,1.112,100.294,,,,,
157,12.31.17 klo 05.00.00 ip.,99.671,1.221,100.297,,,,,
158,12.31.17 klo 05.10.00 ip.,99.662,1.221,100.296,,,,,
159,12.31.17 klo 05.20.00 ip.,99.662,1.221,100.296,,,,,
160,12.31.17 klo 05.30.00 ip.,99.627,1.330,100.292,,,,,
161,12.31.17 klo 05.40.00 ip.,99.630,1.439,100.293,,,,,
162,12.31.17 klo 05.50.00 ip.,99.611,1.439,100.291,,,,,
163,12.31.17 klo 06.00.00 ip.,99.614,1.548,100.291,,,,,
164,12.31.17 klo 06.10.00 ip.,99.614,1.548,100.291,,,,,
165,12.31.17 klo 06.20.00 ip.,99.589,1.656,100.288,,,,,
166,12.31.17 klo 06.30.00 ip.,99.598,1.656,100.289,,,,,
167,12.31.17 klo 06.40.00 ip.,99.598,1.656,100.289,,,,,
168,12.31.17 klo 06.50.00 ip.,99.570,1.656,100.287,,,,,
169,12.31.17 klo 07.00.00 ip.,99.598,1.656,100.289,,,,,
170,12.31.17 klo 07.10.00 ip.,99.589,1.656,100.288,,,,,
171,12.31.17 klo 07.20.00 ip.,99.579,1.656,100.287,,,,,
172,12.31.17 klo 07.30.00 ip.,99.579,1.656,100.287,,,,,
173,12.31.17 klo 07.40.00 ip.,99.573,1.764,100.287,,,,,
