"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
1299,01.03.20 klo 11.00.00 ip.,105.856,3.261,,,,,
1300,01.03.20 klo 11.30.00 ip.,105.837,3.261,,,,,
1301,01.04.20 klo 12.00.00 ap.,105.797,3.261,,,,,
1302,01.04.20 klo 12.30.00 ap.,105.768,3.261,,,,,
1303,01.04.20 klo 01.00.00 ap.,105.709,3.261,,,,,
1304,01.04.20 klo 01.30.00 ap.,105.669,3.261,,,,,
1305,01.04.20 klo 02.00.00 ap.,105.650,3.261,,,,,
1306,01.04.20 klo 02.30.00 ap.,105.640,3.261,,,,,
1307,01.04.20 klo 03.00.00 ap.,105.644,3.367,,,,,
1308,01.04.20 klo 03.30.00 ap.,105.658,3.472,,,,,
1309,01.04.20 klo 04.00.00 ap.,105.639,3.472,,,,,
1310,01.04.20 klo 04.30.00 ap.,105.643,3.578,,,,,
1311,01.04.20 klo 05.00.00 ap.,105.580,3.472,,,,,
1312,01.04.20 klo 05.30.00 ap.,105.545,3.578,,,,,
1313,01.04.20 klo 06.00.00 ap.,105.564,3.578,,,,,
1314,01.04.20 klo 06.30.00 ap.,105.554,3.578,,,,,
1315,01.04.20 klo 07.00.00 ap.,105.535,3.578,,,,,
1316,01.04.20 klo 07.30.00 ap.,105.545,3.578,,,,,
1317,01.04.20 klo 08.00.00 ap.,105.505,3.578,,,,,
1318,01.04.20 klo 08.30.00 ap.,105.485,3.578,,,,,
1319,01.04.20 klo 09.00.00 ap.,105.476,3.578,,,,,
1320,01.04.20 klo 09.30.00 ap.,105.500,3.683,,,,,
1321,01.04.20 klo 10.00.00 ap.,105.504,3.788,,,,,
1322,01.04.20 klo 10.30.00 ap.,105.474,3.788,,,,,
1323,01.04.20 klo 11.00.00 ap.,105.439,3.893,,,,,
1324,01.04.20 klo 11.30.00 ap.,105.420,3.893,,,,,
1325,01.04.20 klo 12.00.00 ip.,105.381,3.683,,,,,
1326,01.04.20 klo 12.30.00 ip.,105.391,3.683,,,,,
1327,01.04.20 klo 01.00.00 ip.,105.411,3.683,,,,,
1328,01.04.20 klo 01.30.00 ip.,105.441,3.683,,,,,
1329,01.04.20 klo 02.00.00 ip.,105.431,3.683,,,,,
1330,01.04.20 klo 02.30.00 ip.,105.407,3.578,,,,,
1331,01.04.20 klo 03.00.00 ip.,105.367,3.578,,,,,
1332,01.04.20 klo 03.30.00 ip.,105.407,3.578,,,,,
1333,01.04.20 klo 04.00.00 ip.,105.422,3.472,,,,,
1334,01.04.20 klo 04.30.00 ip.,105.383,3.472,,,,,
1335,01.04.20 klo 05.00.00 ip.,105.373,3.472,,,,,
1336,01.04.20 klo 05.30.00 ip.,105.398,3.367,,,,,
1337,01.04.20 klo 06.00.00 ip.,105.398,3.367,,,,,
1338,01.04.20 klo 06.30.00 ip.,105.408,3.367,,,,,
1339,01.04.20 klo 07.00.00 ip.,105.378,3.367,,,,,
1340,01.04.20 klo 07.30.00 ip.,105.378,3.367,,,,,
1341,01.04.20 klo 08.00.00 ip.,105.398,3.367,,,,,
1342,01.04.20 klo 08.30.00 ip.,105.408,3.367,,,,,
1343,01.04.20 klo 09.00.00 ip.,105.358,3.367,,,,,
1344,01.04.20 klo 09.30.00 ip.,105.378,3.367,,,,,
1345,01.04.20 klo 10.00.00 ip.,105.378,3.367,,,,,
1346,01.04.20 klo 10.30.00 ip.,105.408,3.367,,,,,
1347,01.04.20 klo 11.00.00 ip.,105.418,3.367,,,,,
1348,01.04.20 klo 11.30.00 ip.,105.437,3.367,,,,,
1349,01.05.20 klo 12.00.00 ap.,105.427,3.367,,,,,
1350,01.05.20 klo 12.30.00 ap.,105.491,3.472,,,,,
1351,01.05.20 klo 01.00.00 ap.,105.467,3.367,,,,,
1352,01.05.20 klo 01.30.00 ap.,105.516,3.367,,,,,
1353,01.05.20 klo 02.00.00 ap.,105.540,3.472,,,,,
1354,01.05.20 klo 02.30.00 ap.,105.570,3.472,,,,,
1355,01.05.20 klo 03.00.00 ap.,105.649,3.472,,,,,
1356,01.05.20 klo 03.30.00 ap.,105.599,3.472,,,,,
1357,01.05.20 klo 04.00.00 ap.,105.649,3.472,,,,,
1358,01.05.20 klo 04.30.00 ap.,105.678,3.472,,,,,
1359,01.05.20 klo 05.00.00 ap.,105.757,3.472,,,,,
1360,01.05.20 klo 05.30.00 ap.,105.767,3.472,,,,,
1361,01.05.20 klo 06.00.00 ap.,105.786,3.472,,,,,
1362,01.05.20 klo 06.30.00 ap.,105.836,3.472,,,,,
1363,01.05.20 klo 07.00.00 ap.,105.934,3.472,,,,,
1364,01.05.20 klo 07.30.00 ap.,105.964,3.472,,,,,
1365,01.05.20 klo 08.00.00 ap.,105.944,3.472,,,,,
1366,01.05.20 klo 08.30.00 ap.,106.013,3.472,,,,,
1367,01.05.20 klo 09.00.00 ap.,106.013,3.472,,,,,
1368,01.05.20 klo 09.30.00 ap.,106.048,3.367,,,,,
1369,01.05.20 klo 10.00.00 ap.,106.097,3.367,,,,,
1370,01.05.20 klo 10.30.00 ap.,106.117,3.367,,,,,
1371,01.05.20 klo 11.00.00 ap.,106.176,3.367,,,,,
1372,01.05.20 klo 11.30.00 ap.,106.230,3.472,,,,,
1373,01.05.20 klo 12.00.00 ip.,106.308,3.683,,,,,
1374,01.05.20 klo 12.30.00 ip.,106.353,3.578,,,,,
1375,01.05.20 klo 01.00.00 ip.,106.431,3.578,,,,,
1376,01.05.20 klo 01.30.00 ip.,106.457,3.472,,,,,
1377,01.05.20 klo 02.00.00 ip.,106.531,3.367,,,,,
1378,01.05.20 klo 02.30.00 ip.,106.570,3.367,,,,,
1379,01.05.20 klo 03.00.00 ip.,106.600,3.367,,,,,
1380,01.05.20 klo 03.30.00 ip.,106.635,3.261,,,,,
1381,01.05.20 klo 04.00.00 ip.,106.645,3.261,,,,,
1382,01.05.20 klo 04.30.00 ip.,106.684,3.261,,,,,
1383,01.05.20 klo 05.00.00 ip.,106.694,3.261,,,,,
1384,01.05.20 klo 05.30.00 ip.,106.724,3.261,,,,,
1385,01.05.20 klo 06.00.00 ip.,106.753,3.261,,,,,
1386,01.05.20 klo 06.30.00 ip.,106.783,3.261,,,,,
1387,01.05.20 klo 07.00.00 ip.,106.812,3.261,,,,,
1388,01.05.20 klo 07.30.00 ip.,106.842,3.261,,,,,
1389,01.05.20 klo 08.00.00 ip.,106.857,3.155,,,,,
1390,01.05.20 klo 08.30.00 ip.,106.867,3.155,,,,,
1391,01.05.20 klo 09.00.00 ip.,106.867,3.155,,,,,
1392,01.05.20 klo 09.30.00 ip.,106.857,3.155,,,,,
1393,01.05.20 klo 10.00.00 ip.,106.877,3.155,,,,,
1394,01.05.20 klo 10.30.00 ip.,106.897,3.155,,,,,
1395,01.05.20 klo 11.00.00 ip.,106.926,3.155,,,,,
1396,01.05.20 klo 11.30.00 ip.,106.936,3.155,,,,,
1397,01.06.20 klo 12.00.00 ap.,106.956,3.155,,,,,
1398,01.06.20 klo 12.30.00 ap.,106.970,3.261,,,,,
1399,01.06.20 klo 01.00.00 ap.,106.985,3.155,,,,,
1400,01.06.20 klo 01.30.00 ap.,107.020,3.261,,,,,
1401,01.06.20 klo 02.00.00 ap.,107.015,3.155,,,,,
1402,01.06.20 klo 02.30.00 ap.,107.029,3.261,,,,,
1403,01.06.20 klo 03.00.00 ap.,107.039,3.261,,,,,
1404,01.06.20 klo 03.30.00 ap.,107.069,3.261,,,,,
1405,01.06.20 klo 04.00.00 ap.,107.098,3.261,,,,,
1406,01.06.20 klo 04.30.00 ap.,107.093,3.367,,,,,
1407,01.06.20 klo 05.00.00 ap.,107.103,3.367,,,,,
1408,01.06.20 klo 05.30.00 ap.,107.103,3.367,,,,,
1409,01.06.20 klo 06.00.00 ap.,107.103,3.367,,,,,
1410,01.06.20 klo 06.30.00 ap.,107.103,3.367,,,,,
1411,01.06.20 klo 07.00.00 ap.,107.103,3.367,,,,,
1412,01.06.20 klo 07.30.00 ap.,107.093,3.367,,,,,
1413,01.06.20 klo 08.00.00 ap.,107.083,3.367,,,,,
1414,01.06.20 klo 08.30.00 ap.,107.073,3.367,,,,,
1415,01.06.20 klo 09.00.00 ap.,107.068,3.472,,,,,
1416,01.06.20 klo 09.30.00 ap.,107.078,3.472,,,,,
1417,01.06.20 klo 10.00.00 ap.,107.078,3.472,,,,,
1418,01.06.20 klo 10.30.00 ap.,107.082,3.578,,,,,
1419,01.06.20 klo 11.00.00 ap.,107.058,3.472,,,,,
1420,01.06.20 klo 11.30.00 ap.,107.058,3.472,,,,,
1421,01.06.20 klo 12.00.00 ip.,107.038,3.472,,,,,
1422,01.06.20 klo 12.30.00 ip.,107.019,3.472,,,,,
1423,01.06.20 klo 01.00.00 ip.,107.023,3.578,,,,,
1424,01.06.20 klo 01.30.00 ip.,106.998,3.683,,,,,
1425,01.06.20 klo 02.00.00 ip.,107.002,3.788,,,,,
1426,01.06.20 klo 02.30.00 ip.,107.002,3.788,,,,,
1427,01.06.20 klo 03.00.00 ip.,106.982,3.788,,,,,
1428,01.06.20 klo 03.30.00 ip.,106.984,3.578,,,,,
1429,01.06.20 klo 04.00.00 ip.,106.964,3.578,,,,,
1430,01.06.20 klo 04.30.00 ip.,106.954,3.578,,,,,
1431,01.06.20 klo 05.00.00 ip.,106.940,3.472,,,,,
1432,01.06.20 klo 05.30.00 ip.,106.921,3.261,,,,,
1433,01.06.20 klo 06.00.00 ip.,106.916,3.155,,,,,
1434,01.06.20 klo 06.30.00 ip.,106.932,3.049,,,,,
1435,01.06.20 klo 07.00.00 ip.,106.922,3.049,,,,,
1436,01.06.20 klo 07.30.00 ip.,106.916,3.155,,,,,
1437,01.06.20 klo 08.00.00 ip.,106.926,3.155,,,,,
1438,01.06.20 klo 08.30.00 ip.,106.907,3.155,,,,,
1439,01.06.20 klo 09.00.00 ip.,106.877,3.155,,,,,
1440,01.06.20 klo 09.30.00 ip.,106.862,3.261,,,,,
1441,01.06.20 klo 10.00.00 ip.,106.857,3.155,,,,,
1442,01.06.20 klo 10.30.00 ip.,106.808,3.155,,,,,
1443,01.06.20 klo 11.00.00 ip.,106.808,3.155,,,,,
1444,01.06.20 klo 11.30.00 ip.,106.808,3.155,,,,,
1445,01.07.20 klo 12.00.00 ap.,106.812,3.261,,,,,
1446,01.07.20 klo 12.30.00 ap.,106.803,3.261,,,,,
1447,01.07.20 klo 01.00.00 ap.,106.793,3.261,,,,,
1448,01.07.20 klo 01.30.00 ap.,106.797,3.367,,,,,
1449,01.07.20 klo 02.00.00 ap.,106.817,3.367,,,,,
1450,01.07.20 klo 02.30.00 ap.,106.811,3.472,,,,,
1451,01.07.20 klo 03.00.00 ap.,106.811,3.472,,,,,
1452,01.07.20 klo 03.30.00 ap.,106.827,3.367,,,,,
1453,01.07.20 klo 04.00.00 ap.,106.841,3.472,,,,,
1454,01.07.20 klo 04.30.00 ap.,106.855,3.578,,,,,
1455,01.07.20 klo 05.00.00 ap.,106.861,3.472,,,,,
1456,01.07.20 klo 05.30.00 ap.,106.886,3.367,,,,,
1457,01.07.20 klo 06.00.00 ap.,106.900,3.472,,,,,
1458,01.07.20 klo 06.30.00 ap.,106.910,3.472,,,,,
1459,01.07.20 klo 07.00.00 ap.,106.900,3.472,,,,,
1460,01.07.20 klo 07.30.00 ap.,106.910,3.472,,,,,
1461,01.07.20 klo 08.00.00 ap.,106.914,3.578,,,,,
1462,01.07.20 klo 08.30.00 ap.,106.929,3.683,,,,,
1463,01.07.20 klo 09.00.00 ap.,106.904,3.788,,,,,
1464,01.07.20 klo 09.30.00 ap.,106.918,3.893,,,,,
1465,01.07.20 klo 10.00.00 ap.,106.908,3.893,,,,,
1466,01.07.20 klo 10.30.00 ap.,106.912,3.998,,,,,
1467,01.07.20 klo 11.00.00 ap.,106.897,4.102,,,,,
1468,01.07.20 klo 11.30.00 ap.,106.898,3.893,,,,,
1469,01.07.20 klo 12.00.00 ip.,106.898,3.893,,,,,
1470,01.07.20 klo 12.30.00 ip.,106.884,3.788,,,,,
1471,01.07.20 klo 01.00.00 ip.,106.874,3.788,,,,,
1472,01.07.20 klo 01.30.00 ip.,106.859,3.893,,,,,
1473,01.07.20 klo 02.00.00 ip.,106.854,3.788,,,,,
1474,01.07.20 klo 02.30.00 ip.,106.884,3.788,,,,,
1475,01.07.20 klo 03.00.00 ip.,106.870,3.683,,,,,
1476,01.07.20 klo 03.30.00 ip.,106.879,3.683,,,,,
1477,01.07.20 klo 04.00.00 ip.,106.899,3.683,,,,,
1478,01.07.20 klo 04.30.00 ip.,106.914,3.578,,,,,
1479,01.07.20 klo 05.00.00 ip.,106.934,3.578,,,,,
1480,01.07.20 klo 05.30.00 ip.,106.989,3.472,,,,,
1481,01.07.20 klo 06.00.00 ip.,107.014,3.367,,,,,
1482,01.07.20 klo 06.30.00 ip.,107.039,3.261,,,,,
1483,01.07.20 klo 07.00.00 ip.,107.029,3.261,,,,,
1484,01.07.20 klo 07.30.00 ip.,107.045,3.155,,,,,
1485,01.07.20 klo 08.00.00 ip.,107.059,3.261,,,,,
1486,01.07.20 klo 08.30.00 ip.,107.079,3.261,,,,,
1487,01.07.20 klo 09.00.00 ip.,107.094,3.155,,,,,
1488,01.07.20 klo 09.30.00 ip.,107.074,3.155,,,,,
1489,01.07.20 klo 10.00.00 ip.,107.084,3.155,,,,,
1490,01.07.20 klo 10.30.00 ip.,107.074,3.155,,,,,
1491,01.07.20 klo 11.00.00 ip.,107.074,3.155,,,,,
1492,01.07.20 klo 11.30.00 ip.,107.089,3.049,,,,,
1493,01.08.20 klo 12.00.00 ap.,107.094,3.155,,,,,
1494,01.08.20 klo 12.30.00 ap.,107.094,3.155,,,,,
1495,01.08.20 klo 01.00.00 ap.,107.094,3.155,,,,,
1496,01.08.20 klo 01.30.00 ap.,107.094,3.155,,,,,
1497,01.08.20 klo 02.00.00 ap.,107.104,3.155,,,,,
1498,01.08.20 klo 02.30.00 ap.,107.108,3.261,,,,,
1499,01.08.20 klo 03.00.00 ap.,107.118,3.261,,,,,
1500,01.08.20 klo 03.30.00 ap.,107.098,3.261,,,,,
1501,01.08.20 klo 04.00.00 ap.,107.123,3.367,,,,,
1502,01.08.20 klo 04.30.00 ap.,107.123,3.367,,,,,
1503,01.08.20 klo 05.00.00 ap.,107.118,3.261,,,,,
1504,01.08.20 klo 05.30.00 ap.,107.123,3.367,,,,,
1505,01.08.20 klo 06.00.00 ap.,107.113,3.367,,,,,
1506,01.08.20 klo 06.30.00 ap.,107.107,3.472,,,,,
1507,01.08.20 klo 07.00.00 ap.,107.107,3.472,,,,,
1508,01.08.20 klo 07.30.00 ap.,107.097,3.472,,,,,
1509,01.08.20 klo 08.00.00 ap.,107.097,3.472,,,,,
1510,01.08.20 klo 08.30.00 ap.,107.072,3.578,,,,,
1511,01.08.20 klo 09.00.00 ap.,107.062,3.578,,,,,
1512,01.08.20 klo 09.30.00 ap.,107.018,3.683,,,,,
1513,01.08.20 klo 10.00.00 ap.,107.002,3.788,,,,,
1514,01.08.20 klo 10.30.00 ap.,106.973,3.788,,,,,
1515,01.08.20 klo 11.00.00 ap.,106.967,3.893,,,,,
1516,01.08.20 klo 11.30.00 ap.,106.943,3.788,,,,,
1517,01.08.20 klo 12.00.00 ip.,106.898,3.893,,,,,
1518,01.08.20 klo 12.30.00 ip.,106.867,4.102,,,,,
1519,01.08.20 klo 01.00.00 ip.,106.813,4.207,,,,,
1520,01.08.20 klo 01.30.00 ip.,106.782,4.415,,,,,
1521,01.08.20 klo 02.00.00 ip.,106.756,4.727,,,,,
1522,01.08.20 klo 02.30.00 ip.,106.733,4.415,,,,,
1523,01.08.20 klo 03.00.00 ip.,106.710,4.102,,,,,
1524,01.08.20 klo 03.30.00 ip.,106.677,3.788,,,,,
1525,01.08.20 klo 04.00.00 ip.,106.672,3.683,,,,,
1526,01.08.20 klo 04.30.00 ip.,106.629,3.578,,,,,
1527,01.08.20 klo 05.00.00 ip.,106.599,3.578,,,,,
1528,01.08.20 klo 05.30.00 ip.,106.585,3.472,,,,,
1529,01.08.20 klo 06.00.00 ip.,106.561,3.367,,,,,
1530,01.08.20 klo 06.30.00 ip.,106.536,3.261,,,,,
1531,01.08.20 klo 07.00.00 ip.,106.522,3.155,,,,,
1532,01.08.20 klo 07.30.00 ip.,106.498,3.049,,,,,
1533,01.08.20 klo 08.00.00 ip.,106.473,3.155,,,,,
1534,01.08.20 klo 08.30.00 ip.,106.463,3.155,,,,,
1535,01.08.20 klo 09.00.00 ip.,106.473,3.155,,,,,
1536,01.08.20 klo 09.30.00 ip.,106.433,3.155,,,,,
1537,01.08.20 klo 10.00.00 ip.,106.414,3.155,,,,,
1538,01.08.20 klo 10.30.00 ip.,106.414,3.155,,,,,
1539,01.08.20 klo 11.00.00 ip.,106.364,3.155,,,,,
1540,01.08.20 klo 11.30.00 ip.,106.414,3.155,,,,,
1541,01.09.20 klo 12.00.00 ap.,106.374,3.155,,,,,
1542,01.09.20 klo 12.30.00 ap.,106.384,3.155,,,,,
1543,01.09.20 klo 01.00.00 ap.,106.335,3.155,,,,,
1544,01.09.20 klo 01.30.00 ap.,106.433,3.155,,,,,
1545,01.09.20 klo 02.00.00 ap.,106.335,3.155,,,,,
1546,01.09.20 klo 02.30.00 ap.,106.305,3.155,,,,,
1547,01.09.20 klo 03.00.00 ap.,106.305,3.155,,,,,
1548,01.09.20 klo 03.30.00 ap.,106.305,3.155,,,,,
1549,01.09.20 klo 04.00.00 ap.,106.246,3.155,,,,,
1550,01.09.20 klo 04.30.00 ap.,106.295,3.155,,,,,
1551,01.09.20 klo 05.00.00 ap.,106.286,3.155,,,,,
1552,01.09.20 klo 05.30.00 ap.,106.295,3.155,,,,,
1553,01.09.20 klo 06.00.00 ap.,106.345,3.155,,,,,
1554,01.09.20 klo 06.30.00 ap.,106.325,3.155,,,,,
1555,01.09.20 klo 07.00.00 ap.,106.305,3.155,,,,,
1556,01.09.20 klo 07.30.00 ap.,106.286,3.155,,,,,
1557,01.09.20 klo 08.00.00 ap.,106.266,3.155,,,,,
1558,01.09.20 klo 08.30.00 ap.,106.197,3.155,,,,,
1559,01.09.20 klo 09.00.00 ap.,106.295,3.155,,,,,
1560,01.09.20 klo 09.30.00 ap.,106.207,3.155,,,,,
1561,01.09.20 klo 10.00.00 ap.,106.286,3.155,,,,,
1562,01.09.20 klo 10.30.00 ap.,106.335,3.155,,,,,
1563,01.09.20 klo 11.00.00 ap.,106.315,3.155,,,,,
1564,01.09.20 klo 11.30.00 ap.,106.260,3.261,,,,,
1565,01.09.20 klo 12.00.00 ip.,106.270,3.261,,,,,
1566,01.09.20 klo 12.30.00 ip.,106.217,3.155,,,,,
1567,01.09.20 klo 01.00.00 ip.,106.266,3.155,,,,,
1568,01.09.20 klo 01.30.00 ip.,106.217,3.155,,,,,
1569,01.09.20 klo 02.00.00 ip.,106.192,3.049,,,,,
1570,01.09.20 klo 02.30.00 ip.,106.222,3.049,,,,,
1571,01.09.20 klo 03.00.00 ip.,106.252,3.049,,,,,
1572,01.09.20 klo 03.30.00 ip.,106.252,3.049,,,,,
1573,01.09.20 klo 04.00.00 ip.,106.252,3.049,,,,,
1574,01.09.20 klo 04.30.00 ip.,106.212,3.049,,,,,
1575,01.09.20 klo 05.00.00 ip.,106.252,3.049,,,,,
1576,01.09.20 klo 05.30.00 ip.,106.257,2.943,,,,,
1577,01.09.20 klo 06.00.00 ip.,106.296,2.943,,,,,
1578,01.09.20 klo 06.30.00 ip.,106.306,2.943,,,,,
1579,01.09.20 klo 07.00.00 ip.,106.287,2.943,,,,,
1580,01.09.20 klo 07.30.00 ip.,106.292,2.837,,,,,
1581,01.09.20 klo 08.00.00 ip.,106.243,2.837,,,,,
1582,01.09.20 klo 08.30.00 ip.,106.213,2.837,,,,,
1583,01.09.20 klo 09.00.00 ip.,106.174,2.837,,,,,
1584,01.09.20 klo 09.30.00 ip.,106.154,2.837,,,,,
1585,01.09.20 klo 10.00.00 ip.,106.164,2.837,,,,,
1586,01.09.20 klo 10.30.00 ip.,106.071,2.730,,,,,
1587,01.09.20 klo 11.00.00 ip.,106.135,2.624,,,,,
1588,01.09.20 klo 11.30.00 ip.,106.091,2.730,,,,,
1589,01.10.20 klo 12.00.00 ap.,106.051,2.730,,,,,
1590,01.10.20 klo 12.30.00 ap.,106.022,2.730,,,,,
1591,01.10.20 klo 01.00.00 ap.,106.012,2.730,,,,,
1592,01.10.20 klo 01.30.00 ap.,105.967,2.837,,,,,
1593,01.10.20 klo 02.00.00 ap.,105.967,2.837,,,,,
1594,01.10.20 klo 02.30.00 ap.,105.918,2.837,,,,,
1595,01.10.20 klo 03.00.00 ap.,105.967,2.837,,,,,
1596,01.10.20 klo 03.30.00 ap.,105.898,2.837,,,,,
1597,01.10.20 klo 04.00.00 ap.,105.932,2.943,,,,,
1598,01.10.20 klo 04.30.00 ap.,105.912,2.943,,,,,
1599,01.10.20 klo 05.00.00 ap.,105.892,2.943,,,,,
1600,01.10.20 klo 05.30.00 ap.,105.912,2.943,,,,,
1601,01.10.20 klo 06.00.00 ap.,105.932,2.943,,,,,
1602,01.10.20 klo 06.30.00 ap.,105.912,2.943,,,,,
1603,01.10.20 klo 07.00.00 ap.,105.863,2.943,,,,,
1604,01.10.20 klo 07.30.00 ap.,105.907,3.049,,,,,
1605,01.10.20 klo 08.00.00 ap.,105.873,2.943,,,,,
1606,01.10.20 klo 08.30.00 ap.,105.858,3.049,,,,,
1607,01.10.20 klo 09.00.00 ap.,105.867,3.049,,,,,
1608,01.10.20 klo 09.30.00 ap.,105.866,3.261,,,,,
1609,01.10.20 klo 10.00.00 ap.,105.837,3.261,,,,,
1610,01.10.20 klo 10.30.00 ap.,105.823,3.155,,,,,
1611,01.10.20 klo 11.00.00 ap.,105.842,3.155,,,,,
1612,01.10.20 klo 11.30.00 ap.,105.803,3.155,,,,,
1613,01.10.20 klo 12.00.00 ip.,105.793,3.155,,,,,
1614,01.10.20 klo 12.30.00 ip.,105.773,3.155,,,,,
1615,01.10.20 klo 01.00.00 ip.,105.783,3.155,,,,,
1616,01.10.20 klo 01.30.00 ip.,105.763,3.155,,,,,
1617,01.10.20 klo 02.00.00 ip.,105.769,3.049,,,,,
1618,01.10.20 klo 02.30.00 ip.,105.789,3.049,,,,,
1619,01.10.20 klo 03.00.00 ip.,105.769,3.049,,,,,
1620,01.10.20 klo 03.30.00 ip.,105.759,3.049,,,,,
1621,01.10.20 klo 04.00.00 ip.,105.764,2.943,,,,,
1622,01.10.20 klo 04.30.00 ip.,105.745,2.943,,,,,
1623,01.10.20 klo 05.00.00 ip.,105.695,2.943,,,,,
1624,01.10.20 klo 05.30.00 ip.,105.735,2.943,,,,,
1625,01.10.20 klo 06.00.00 ip.,105.701,2.837,,,,,
1626,01.10.20 klo 06.30.00 ip.,105.721,2.837,,,,,
1627,01.10.20 klo 07.00.00 ip.,105.711,2.837,,,,,
1628,01.10.20 klo 07.30.00 ip.,105.721,2.837,,,,,
1629,01.10.20 klo 08.00.00 ip.,105.662,2.837,,,,,
1630,01.10.20 klo 08.30.00 ip.,105.671,2.837,,,,,
1631,01.10.20 klo 09.00.00 ip.,105.696,2.730,,,,,
1632,01.10.20 klo 09.30.00 ip.,105.716,2.730,,,,,
1633,01.10.20 klo 10.00.00 ip.,105.696,2.730,,,,,
1634,01.10.20 klo 10.30.00 ip.,105.696,2.730,,,,,
1635,01.10.20 klo 11.00.00 ip.,105.746,2.730,,,,,
1636,01.10.20 klo 11.30.00 ip.,105.746,2.730,,,,,
1637,01.11.20 klo 12.00.00 ap.,105.736,2.730,,,,,
1638,01.11.20 klo 12.30.00 ap.,105.765,2.730,,,,,
1639,01.11.20 klo 01.00.00 ap.,105.775,2.730,,,,,
1640,01.11.20 klo 01.30.00 ap.,105.805,2.730,,,,,
1641,01.11.20 klo 02.00.00 ap.,105.819,2.837,,,,,
1642,01.11.20 klo 02.30.00 ap.,105.819,2.837,,,,,
1643,01.11.20 klo 03.00.00 ap.,105.799,2.837,,,,,
1644,01.11.20 klo 03.30.00 ap.,105.878,2.837,,,,,
1645,01.11.20 klo 04.00.00 ap.,105.819,2.837,,,,,
1646,01.11.20 klo 04.30.00 ap.,105.824,2.943,,,,,
1647,01.11.20 klo 05.00.00 ap.,105.833,2.943,,,,,
1648,01.11.20 klo 05.30.00 ap.,105.824,2.943,,,,,
1649,01.11.20 klo 06.00.00 ap.,105.804,2.943,,,,,
1650,01.11.20 klo 06.30.00 ap.,105.833,2.943,,,,,
1651,01.11.20 klo 07.00.00 ap.,105.833,2.943,,,,,
1652,01.11.20 klo 07.30.00 ap.,105.853,2.943,,,,,
1653,01.11.20 klo 08.00.00 ap.,105.814,2.943,,,,,
1654,01.11.20 klo 08.30.00 ap.,105.843,2.943,,,,,
1655,01.11.20 klo 09.00.00 ap.,105.873,2.943,,,,,
1656,01.11.20 klo 09.30.00 ap.,105.902,2.943,,,,,
1657,01.11.20 klo 10.00.00 ap.,105.873,2.943,,,,,
1658,01.11.20 klo 10.30.00 ap.,105.863,2.943,,,,,
1659,01.11.20 klo 11.00.00 ap.,105.863,2.943,,,,,
1660,01.11.20 klo 11.30.00 ap.,105.863,2.943,,,,,
1661,01.11.20 klo 12.00.00 ip.,105.843,2.943,,,,,
1662,01.11.20 klo 12.30.00 ip.,105.873,2.943,,,,,
1663,01.11.20 klo 01.00.00 ip.,105.863,2.943,,,,,
1664,01.11.20 klo 01.30.00 ip.,105.853,2.943,,,,,
1665,01.11.20 klo 02.00.00 ip.,105.873,2.943,,,,,
1666,01.11.20 klo 02.30.00 ip.,105.853,2.943,,,,,
1667,01.11.20 klo 03.00.00 ip.,105.853,2.943,,,,,
1668,01.11.20 klo 03.30.00 ip.,105.824,2.943,,,,,
1669,01.11.20 klo 04.00.00 ip.,105.819,2.837,,,,,
1670,01.11.20 klo 04.30.00 ip.,105.809,2.837,,,,,
1671,01.11.20 klo 05.00.00 ip.,105.809,2.837,,,,,
1672,01.11.20 klo 05.30.00 ip.,105.809,2.837,,,,,
1673,01.11.20 klo 06.00.00 ip.,105.790,2.837,,,,,
1674,01.11.20 klo 06.30.00 ip.,105.780,2.837,,,,,
1675,01.11.20 klo 07.00.00 ip.,105.765,2.730,,,,,
1676,01.11.20 klo 07.30.00 ip.,105.775,2.730,,,,,
1677,01.11.20 klo 08.00.00 ip.,105.815,2.730,,,,,
1678,01.11.20 klo 08.30.00 ip.,105.834,2.730,,,,,
1679,01.11.20 klo 09.00.00 ip.,105.805,2.730,,,,,
1680,01.11.20 klo 09.30.00 ip.,105.834,2.730,,,,,
1681,01.11.20 klo 10.00.00 ip.,105.849,2.837,,,,,
1682,01.11.20 klo 10.30.00 ip.,105.859,2.837,,,,,
1683,01.11.20 klo 11.00.00 ip.,105.854,2.730,,,,,
1684,01.11.20 klo 11.30.00 ip.,105.854,2.730,,,,,
1685,01.12.20 klo 12.00.00 ap.,105.874,2.730,,,,,
1686,01.12.20 klo 12.30.00 ap.,105.878,2.837,,,,,
1687,01.12.20 klo 01.00.00 ap.,105.878,2.837,,,,,
1688,01.12.20 klo 01.30.00 ap.,105.878,2.837,,,,,
1689,01.12.20 klo 02.00.00 ap.,105.898,2.837,,,,,
1690,01.12.20 klo 02.30.00 ap.,105.898,2.837,,,,,
1691,01.12.20 klo 03.00.00 ap.,105.883,2.943,,,,,
