"Plot Title: LAKSHMI"
"#","Date Time, GMT+00:00","Abs Pres, kPa (LGR S/N: 20183678, SEN S/N: 20183678, LBL: PRES)","Temp, °C (LGR S/N: 20183678, SEN S/N: 20183678, LBL: TMP)","Coupler Detached (LGR S/N: 20183678)","Coupler Attached (LGR S/N: 20183678)","Host Connected (LGR S/N: 20183678)","Stopped (LGR S/N: 20183678)","End Of File (LGR S/N: 20183678)"
88,12.09.19 klo 05.30.00 ip.,105.831,1.221,,,,,
89,12.09.19 klo 06.00.00 ip.,105.796,1.330,,,,,
90,12.09.19 klo 06.30.00 ip.,105.821,1.221,,,,,
91,12.09.19 klo 07.00.00 ip.,105.801,1.221,,,,,
92,12.09.19 klo 07.30.00 ip.,105.747,1.112,,,,,
93,12.09.19 klo 08.00.00 ip.,105.767,1.112,,,,,
94,12.09.19 klo 08.30.00 ip.,105.792,1.003,,,,,
95,12.09.19 klo 09.00.00 ip.,105.733,1.003,,,,,
96,12.09.19 klo 09.30.00 ip.,105.743,1.003,,,,,
97,12.09.19 klo 10.00.00 ip.,105.772,1.003,,,,,
98,12.09.19 klo 10.30.00 ip.,105.768,0.893,,,,,
99,12.09.19 klo 11.00.00 ip.,105.728,0.893,,,,,
100,12.09.19 klo 11.30.00 ip.,105.689,0.893,,,,,
101,12.10.19 klo 12.00.00 ap.,105.704,0.784,,,,,
102,12.10.19 klo 12.30.00 ap.,105.650,0.893,,,,,
103,12.10.19 klo 01.00.00 ap.,105.670,0.674,,,,,
104,12.10.19 klo 01.30.00 ap.,105.650,0.893,,,,,
105,12.10.19 klo 02.00.00 ap.,105.660,0.893,,,,,
106,12.10.19 klo 02.30.00 ap.,105.625,1.003,,,,,
107,12.10.19 klo 03.00.00 ap.,105.659,1.112,,,,,
108,12.10.19 klo 03.30.00 ap.,105.698,1.112,,,,,
109,12.10.19 klo 04.00.00 ap.,105.703,1.221,,,,,
110,12.10.19 klo 04.30.00 ap.,105.781,1.221,,,,,
111,12.10.19 klo 05.00.00 ap.,105.742,1.221,,,,,
112,12.10.19 klo 05.30.00 ap.,105.766,1.330,,,,,
113,12.10.19 klo 06.00.00 ap.,105.712,1.439,,,,,
114,12.10.19 klo 06.30.00 ap.,105.706,1.548,,,,,
115,12.10.19 klo 07.00.00 ap.,105.740,1.656,,,,,
116,12.10.19 klo 07.30.00 ap.,105.696,1.764,,,,,
117,12.10.19 klo 08.00.00 ap.,105.612,1.872,,,,,
118,12.10.19 klo 08.30.00 ap.,105.621,1.872,,,,,
119,12.10.19 klo 09.00.00 ap.,105.606,1.980,,,,,
120,12.10.19 klo 09.30.00 ap.,105.650,2.088,,,,,
121,12.10.19 klo 10.00.00 ap.,105.611,2.088,,,,,
122,12.10.19 klo 10.30.00 ap.,105.620,2.303,,,,,
123,12.10.19 klo 11.00.00 ap.,105.605,2.195,,,,,
124,12.10.19 klo 11.30.00 ap.,105.615,2.195,,,,,
125,12.10.19 klo 12.00.00 ip.,105.621,2.088,,,,,
126,12.10.19 klo 12.30.00 ip.,105.527,2.195,,,,,
127,12.10.19 klo 01.00.00 ip.,105.546,2.195,,,,,
128,12.10.19 klo 01.30.00 ip.,105.497,2.195,,,,,
129,12.10.19 klo 02.00.00 ip.,105.507,2.195,,,,,
130,12.10.19 klo 02.30.00 ip.,105.545,2.410,,,,,
131,12.10.19 klo 03.00.00 ip.,105.487,2.195,,,,,
132,12.10.19 klo 03.30.00 ip.,105.518,1.980,,,,,
133,12.10.19 klo 04.00.00 ip.,105.537,1.980,,,,,
134,12.10.19 klo 04.30.00 ip.,105.503,1.872,,,,,
135,12.10.19 klo 05.00.00 ip.,105.558,1.764,,,,,
136,12.10.19 klo 05.30.00 ip.,105.529,1.548,,,,,
137,12.10.19 klo 06.00.00 ip.,105.535,1.439,,,,,
138,12.10.19 klo 06.30.00 ip.,105.544,1.439,,,,,
139,12.10.19 klo 07.00.00 ip.,105.525,1.221,,,,,
140,12.10.19 klo 07.30.00 ip.,105.521,1.112,,,,,
141,12.10.19 klo 08.00.00 ip.,105.511,1.112,,,,,
142,12.10.19 klo 08.30.00 ip.,105.501,1.112,,,,,
143,12.10.19 klo 09.00.00 ip.,105.496,1.221,,,,,
144,12.10.19 klo 09.30.00 ip.,105.486,1.221,,,,,
145,12.10.19 klo 10.00.00 ip.,105.471,1.330,,,,,
146,12.10.19 klo 10.30.00 ip.,105.481,1.330,,,,,
147,12.10.19 klo 11.00.00 ip.,105.471,1.330,,,,,
148,12.10.19 klo 11.30.00 ip.,105.481,1.330,,,,,
149,12.11.19 klo 12.00.00 ap.,105.471,1.330,,,,,
150,12.11.19 klo 12.30.00 ap.,105.457,1.221,,,,,
151,12.11.19 klo 01.00.00 ap.,105.466,1.221,,,,,
152,12.11.19 klo 01.30.00 ap.,105.462,1.112,,,,,
153,12.11.19 klo 02.00.00 ap.,105.457,1.221,,,,,
154,12.11.19 klo 02.30.00 ap.,105.471,1.330,,,,,
155,12.11.19 klo 03.00.00 ap.,105.446,1.439,,,,,
156,12.11.19 klo 03.30.00 ap.,105.450,1.548,,,,,
157,12.11.19 klo 04.00.00 ap.,105.441,1.548,,,,,
158,12.11.19 klo 04.30.00 ap.,105.465,1.656,,,,,
159,12.11.19 klo 05.00.00 ap.,105.469,1.764,,,,,
160,12.11.19 klo 05.30.00 ap.,105.459,1.764,,,,,
161,12.11.19 klo 06.00.00 ap.,105.503,1.872,,,,,
162,12.11.19 klo 06.30.00 ap.,105.537,1.980,,,,,
163,12.11.19 klo 07.00.00 ap.,105.522,2.088,,,,,
164,12.11.19 klo 07.30.00 ap.,105.522,2.088,,,,,
165,12.11.19 klo 08.00.00 ap.,105.487,2.195,,,,,
166,12.11.19 klo 08.30.00 ap.,105.492,2.303,,,,,
