year month day id wd wsd tmp
2000 12 06 89512 120 16 -3.1
2000 12 06 89512 100 10 -.4
2000 12 06 89512 50 4 -2
2000 12 07 89512 180 6 -4.1
2000 12 07 89512 160 22 -2.7
2000 12 07 89512 30 4 -1.4
2000 12 07 89512 40 4 -1.1
2000 12 08 89512 170 12 -4.4
2000 12 08 89512 130 20 -2.5
2000 12 08 89512 40 6 -1.3
2000 12 08 89512 350 4 -4
2000 12 09 89512 40 2 -8.8
2000 12 09 89512 10 2 -8.8
2000 12 09 89512 30 6 -2.1
2000 12 09 89512 40 2 -2.6
2000 12 10 89512 20 2 -4.2
2000 12 10 89512 150 10 -1.4
2000 12 10 89512 10 6 -.4
2000 12 10 89512 10 4 -.7
2000 12 11 89512 190 6 -3.1
2000 12 11 89512 160 2 -5.8
2000 12 11 89512 40 6 -4.6
2000 12 11 89512 160 2 -3.5
2000 12 12 89512 20 4 -6.9
2000 12 12 89512 30 4 -7
2000 12 12 89512 350 4 -6.2
2000 12 13 89512 170 36 -3.4
2000 12 13 89512 160 34 -2.5
2000 12 13 89512 140 26 .4
2000 12 13 89512 130 6 -.8
2000 12 14 89512 140 22 -2.4
2000 12 14 89512 100 14 -.3
2000 12 14 89512 20 6 -1.3
2000 12 15 89512 160 2 -3.1
2000 12 15 89512 110 20 -1.5
2000 12 15 89512 80 12 -.8
2000 12 15 89512 90 8 -.5
2000 12 16 89512 130 10 -3.3
2000 12 16 89512 120 32 -1.3
2000 12 16 89512 120 22 .9
2000 12 16 89512 100 10 1.4
2000 12 17 89512 130 18 -2.7
2000 12 17 89512 160 24 -1.2
2000 12 17 89512 100 8 1.9
2000 12 17 89512 20 4 .7
2000 12 18 89512 180 12 -1.1
2000 12 18 89512 70 4 2.3
2000 12 18 89512 50 8 .7
2000 12 19 89512 160 2 -2.3
2000 12 19 89512 170 22 -.9
2000 12 19 89512 100 10 1.3
2000 12 20 89512 100 10 1.3
2000 12 20 89512 120 2 -1.6
2000 12 20 89512 30 8 -2.1
2000 12 20 89512 30 4 -3.2
2000 12 21 89512 40 4 -4.6
2000 12 21 89512 50 2 -6.2
2000 12 21 89512 340 10 -2
2000 12 21 89512 280 12 -2.2
2000 12 22 89512 110 4 -5.2
2000 12 22 89512 20 4 -5.3
2000 12 22 89512 60 8 .6
2000 12 23 89512 60 4 -1.2
2000 12 23 89512 40 4 -.9
2000 12 24 89512 190 6 -2.7
2000 12 24 89512 110 8 -.9
2000 12 25 89512 120 14 -3.1
2000 12 25 89512 110 24 -.8
2000 12 25 89512 110 20 -2
2000 12 26 89512 110 20 -3
2000 12 27 89512 90 10 1
2000 12 27 89512 130 6 1.3
2000 12 28 89512 130 14 -1.7
2000 12 28 89512 100 18 1.2
2000 12 28 89512 120 16 .9
2000 12 29 89512 140 20 .2
2000 12 30 89512 90 12 -.6
2000 12 31 89512 130 6 1.1
2000 12 31 89512 60 8 -2.8
2001 12 04 89512 180 16 -4.2
2001 12 04 89512 170 18 -2.5
2001 12 04 89512 50 12 -.1
2001 12 04 89512 40 10 -3.1
2001 12 05 89512 180 22 -3
2001 12 05 89512 180 22 -2.8
2001 12 05 89512 220 4 2
2001 12 05 89512 170 22 1.2
2001 12 06 89512 180 32 -1.9
2001 12 06 89512 70 8 -2.5
2001 12 06 89512 270 8 -.2
2001 12 06 89512 150 10 -1.8
2001 12 07 89512 340 4 -4
2001 12 07 89512 150 24 1
2001 12 07 89512 120 6 3.4
2001 12 07 89512 110 4 .1
2001 12 08 89512 300 4 4
