28.1.2018 12:11:01,C,5,309
28.1.2018 12:21:01,C,5,372
28.1.2018 12:31:01,C,5,56
28.1.2018 12:41:01,C,5,686
28.1.2018 12:51:01,C,5,749
28.1.2018 13:01:01,C,5,875
28.1.2018 13:11:01,C,6,001
28.1.2018 13:21:01,C,6,126
28.1.2018 13:31:01,C,6,189
28.1.2018 13:41:01,C,6,315
28.1.2018 13:51:01,C,6,378
28.1.2018 14:01:01,C,6,504
28.1.2018 14:11:01,C,6,567
28.1.2018 14:21:01,C,6,63
28.1.2018 14:31:01,C,6,755
28.1.2018 14:41:01,C,6,818
28.1.2018 14:51:01,C,6,944
28.1.2018 15:01:01,C,7,07
28.1.2018 15:11:01,C,7,196
28.1.2018 15:21:01,C,7,321
28.1.2018 15:31:01,C,7,384
28.1.2018 15:41:01,C,7,447
28.1.2018 15:51:01,C,7,51
28.1.2018 16:01:01,C,7,51
28.1.2018 16:11:01,C,7,51
28.1.2018 16:21:01,C,7,573
28.1.2018 16:31:01,C,7,636
28.1.2018 16:41:01,C,7,699
28.1.2018 16:51:01,C,7,636
28.1.2018 17:01:01,C,7,573
28.1.2018 17:11:01,C,7,573
28.1.2018 17:21:01,C,7,636
28.1.2018 17:31:01,C,7,636
28.1.2018 17:41:01,C,7,447
28.1.2018 17:51:01,C,7,636
28.1.2018 18:01:01,C,7,447
28.1.2018 18:11:01,C,7,447
28.1.2018 18:21:01,C,7,51
28.1.2018 18:31:01,C,7,699
28.1.2018 18:41:01,C,7,636
28.1.2018 18:51:01,C,7,573
28.1.2018 19:01:01,C,7,573
28.1.2018 19:11:01,C,7,447
28.1.2018 19:21:01,C,7,384
28.1.2018 19:31:01,C,7,196
28.1.2018 19:41:01,C,6,944
28.1.2018 19:51:01,C,6,818
28.1.2018 20:01:01,C,6,567
28.1.2018 20:11:01,C,6,189
28.1.2018 20:21:01,C,5,938
28.1.2018 20:31:01,C,5,686
28.1.2018 20:41:01,C,5,497
28.1.2018 20:51:01,C,5,309
28.1.2018 21:01:01,C,5,183
28.1.2018 21:11:01,C,5,057
28.1.2018 21:21:01,C,4,994
28.1.2018 21:31:01,C,4,868
